position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-76bd941d-b81b-4a57-a428-1b0e176b3286,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240601-124500-BACKTEST-000-1,O-20240601-125500-BACKTEST-000-2,BUY,FLAT,0.00000000,0.04424517,1717245900000000000,2024-06-01 12:45:00+00:00,1717246500000000000,2024-06-01 12:55:00+00:00,600000000000,67804.0,67717.76,['23.98 USD'],-0.00127,-27.80 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-14ead965-9f73-4f14-80fc-22d1c5efe18a,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240602-142500-BACKTEST-000-3,O-20240602-144500-BACKTEST-000-4,BUY,FLAT,0.00000000,0.04377248,1717338300000000000,2024-06-02 14:25:00+00:00,1717339500000000000,2024-06-02 14:45:00+00:00,1200000000000,68345.67,68123.01000000001,['23.90 USD'],-0.00326,-33.65 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-cb87dff5-0fb9-4e1f-ab47-e5d18113d4f5,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240602-223000-BACKTEST-000-5,O-20240602-233000-BACKTEST-000-6,BUY,FLAT,0.00000000,0.04386524,1717367400000000000,2024-06-02 22:30:00+00:00,1717371000000000000,2024-06-02 23:30:00+00:00,3600000000000,67971.01000000001,67862.69,['23.84 USD'],-0.00159,-28.59 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-d06ec3f1-4143-4fbe-ae8d-01a6b4dcffba,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240603-015000-BACKTEST-000-7,O-20240603-143500-BACKTEST-000-8,BUY,FLAT,0.00000000,0.04341903,1717379400000000000,2024-06-03 01:50:00+00:00,1717425300000000000,2024-06-03 14:35:00+00:00,45900000000000,68471.99,69180.01999999999,['23.90 USD'],0.01034,6.84 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-d6c43a9b-d303-49f8-b55c-fa41b040b06d,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240604-021000-BACKTEST-000-9,O-20240604-024500-BACKTEST-000-10,BUY,FLAT,0.00000000,0.04295045,1717467000000000000,2024-06-04 02:10:00+00:00,1717469100000000000,2024-06-04 02:45:00+00:00,2100000000000,69266.79000000001,69100.0,['23.77 USD'],-0.00241,-30.93 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-0280409e-ef83-453d-bc05-e13198f46ba8,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240604-131000-BACKTEST-000-11,O-20240605-085000-BACKTEST-000-12,BUY,FLAT,0.00000000,0.04283875,1717506600000000000,2024-06-04 13:10:00+00:00,1717577400000000000,2024-06-05 08:50:00+00:00,70800000000000,69230.79000000001,70906.67,['24.01 USD'],0.02421,47.78 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-e6a9a4d9-7ad7-424c-8889-bff51c1742cf,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240605-132000-BACKTEST-000-13,O-20240605-133500-BACKTEST-000-14,BUY,FLAT,0.00000000,0.04189056,1717593600000000000,2024-06-05 13:20:00+00:00,1717594500000000000,2024-06-05 13:35:00+00:00,900000000000,71140.01,70770.01999999999,['23.78 USD'],-0.0052,-39.28 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-013b01ac-fccc-42e8-bd29-f7ee331df2da,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240605-152500-BACKTEST-000-15,O-20240605-182000-BACKTEST-000-16,BUY,FLAT,0.00000000,0.04148959,1717601100000000000,2024-06-05 15:25:00+00:00,1717611600000000000,2024-06-05 18:20:00+00:00,10500000000000,71543.57,71160.39,['23.68 USD'],-0.00536,-39.58 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-bb116ada-de99-49e1-8339-e1894b8f2f5a,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240606-115500-BACKTEST-000-17,O-20240606-141500-BACKTEST-000-18,BUY,FLAT,0.00000000,0.04154057,1717674900000000000,2024-06-06 11:55:00+00:00,1717683300000000000,2024-06-06 14:15:00+00:00,8400000000000,71170.01,71061.0,['23.64 USD'],-0.00153,-28.17 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-8079fa07-88e0-45f5-8e29-c1db4d8bb0b1,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240606-152500-BACKTEST-000-19,O-20240606-154500-BACKTEST-000-20,BUY,FLAT,0.00000000,0.04117493,1717687500000000000,2024-06-06 15:25:00+00:00,1717688700000000000,2024-06-06 15:45:00+00:00,1200000000000,71596.76000000001,71348.98999999999,['23.54 USD'],-0.00346,-33.74 USD,True
