trade_num,side,entry_price,exit_price,realized_pnl,commissions
1,FLAT,67804.0,67717.76,-27.80 USD,['23.98 USD']
2,FLAT,68345.67,68123.01000000001,-33.65 USD,['23.90 USD']
3,FLAT,67971.01000000001,67862.69,-28.59 USD,['23.84 USD']
4,FLAT,68471.99,69180.01999999999,6.84 USD,['23.90 USD']
5,FLAT,69266.79000000001,69100.0,-30.93 USD,['23.77 USD']
6,FLAT,69230.79000000001,70906.67,47.78 USD,['24.01 USD']
7,FLAT,71140.01,70770.01999999999,-39.28 USD,['23.78 USD']
8,FLAT,71543.57,71160.39,-39.58 USD,['23.68 USD']
9,FLAT,71170.01,71061.0,-28.17 USD,['23.64 USD']
10,FLAT,71596.76000000001,71348.98999999999,-33.74 USD,['23.54 USD']
11,FLAT,71129.99,71070.08,-25.96 USD,['23.49 USD']
12,FLAT,71396.51,70937.98000000001,-42.19 USD,['23.37 USD']
13,FLAT,69582.20000000001,69464.11,-28.27 USD,['23.32 USD']
14,FLAT,69362.68000000001,69302.59,-25.79 USD,['23.27 USD']
15,FLAT,69479.04,69331.45999999999,-29.34 USD,['23.18 USD']
16,FLAT,69703.44,69610.01,-27.00 USD,['23.12 USD']
17,FLAT,69662.09,69599.45,-25.66 USD,['23.07 USD']
18,FLAT,67268.01,67232.0,-24.55 USD,['23.01 USD']
19,FLAT,67606.62000000001,67430.95,-30.39 USD,['22.93 USD']
20,FLAT,67548.15000000001,69091.28,42.20 USD,['23.14 USD']
21,FLAT,68108.97,67774.07,-37.05 USD,['22.92 USD']
22,FLAT,67331.18000000001,67070.5,-33.93 USD,['22.85 USD']
23,FLAT,66322.37000000001,66220.0,-27.20 USD,['22.80 USD']
24,FLAT,66441.31999999999,66324.0,-27.74 USD,['22.72 USD']
25,FLAT,66275.0,66216.09,-25.19 USD,['22.67 USD']
26,FLAT,66235.11,66184.34,-24.78 USD,['22.61 USD']
27,FLAT,66384.51,66544.26,-15.80 USD,['22.59 USD']
28,FLAT,66206.01,66206.81999999999,-22.49 USD,['22.52 USD']
29,FLAT,65347.89000000001,65074.34,-34.18 USD,['22.42 USD']
30,FLAT,65616.01,65410.0,-31.14 USD,['22.35 USD']
31,FLAT,65166.009999999995,64973.40000000001,-30.52 USD,['22.28 USD']
32,FLAT,65415.020000000004,65778.01,-6.87 USD,['22.30 USD']
33,FLAT,64220.009999999995,64009.85,-31.27 USD,['22.18 USD']
34,FLAT,64322.0,64299.990000000005,-23.09 USD,['22.14 USD']
35,FLAT,64354.509999999995,64386.189999999995,-20.74 USD,['22.10 USD']
