position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-becbdd52-d615-4989-96ee-c12f28a3b1a9,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250101-135500-BACKTEST-000-1,O-20250101-171000-BACKTEST-000-2,BUY,FLAT,0.00000000,0.03190411,1735739700000000000,2025-01-01 13:55:00+00:00,1735751400000000000,2025-01-01 17:10:00+00:00,11700000000000,94031.76,93863.12,['23.98 USD'],-0.00179,-29.36 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-823a8362-b1aa-4fa9-802d-75f74c37fdc0,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250101-194500-BACKTEST-000-3,O-20250102-000000-BACKTEST-000-4,BUY,FLAT,0.00000000,0.03157183,1735760700000000000,2025-01-01 19:45:00+00:00,1735776000000000000,2025-01-02 00:00:00+00:00,15300000000000,94742.42,94472.98,['23.89 USD'],-0.00284,-32.40 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-fe581ff9-6fa6-42e4-91fb-bb7ab837f166,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250102-043500-BACKTEST-000-5,O-20250102-062500-BACKTEST-000-6,BUY,FLAT,0.00000000,0.03114394,1735792500000000000,2025-01-02 04:35:00+00:00,1735799100000000000,2025-01-02 06:25:00+00:00,6600000000000,95732.0,95460.0,['23.82 USD'],-0.00284,-32.29 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-fbec1850-ae6f-4129-b322-bcdc09e66255,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250102-085000-BACKTEST-000-7,O-20250102-140000-BACKTEST-000-8,BUY,FLAT,0.00000000,0.03090780,1735807800000000000,2025-01-02 08:50:00+00:00,1735826400000000000,2025-01-02 14:00:00+00:00,18600000000000,96150.0,96000.0,['23.76 USD'],-0.00156,-28.40 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-101b7122-94c0-404a-b244-212500ecda8c,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250102-163000-BACKTEST-000-9,O-20250102-173000-BACKTEST-000-10,BUY,FLAT,0.00000000,0.03038204,1735835400000000000,2025-01-02 16:30:00+00:00,1735839000000000000,2025-01-02 17:30:00+00:00,3600000000000,97533.54,96806.43999999999,['23.61 USD'],-0.00745,-45.70 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-271c079c-8074-481f-8ecf-1ad940536ede,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250102-202000-BACKTEST-000-11,O-20250102-203500-BACKTEST-000-12,BUY,FLAT,0.00000000,0.03015052,1735849200000000000,2025-01-02 20:20:00+00:00,1735850100000000000,2025-01-02 20:35:00+00:00,900000000000,97827.75,97402.53,['23.55 USD'],-0.00435,-36.37 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-ae17ccb0-9c22-45bb-a593-83a108b00e70,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250103-120500-BACKTEST-000-13,O-20250103-130000-BACKTEST-000-14,BUY,FLAT,0.00000000,0.03034287,1735905900000000000,2025-01-03 12:05:00+00:00,1735909200000000000,2025-01-03 13:00:00+00:00,3300000000000,96848.0,96592.0,['23.47 USD'],-0.00264,-31.24 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-5e7fa4b3-b05c-4f62-97cf-e33d2a92b9c5,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250103-142000-BACKTEST-000-15,O-20250103-232500-BACKTEST-000-16,BUY,FLAT,0.00000000,0.03019568,1735914000000000000,2025-01-03 14:20:00+00:00,1735946700000000000,2025-01-03 23:25:00+00:00,32700000000000,97009.72,98101.01000000001,['23.57 USD'],0.01125,9.38 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-2b1036a5-0e1f-4438-bcae-9cd69c4355de,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250104-151500-BACKTEST-000-17,O-20250104-152500-BACKTEST-000-18,BUY,FLAT,0.00000000,0.02987311,1736003700000000000,2025-01-04 15:15:00+00:00,1736004300000000000,2025-01-04 15:25:00+00:00,600000000000,98151.52,97832.06,['23.42 USD'],-0.00325,-32.96 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-9785b9a9-f57d-469a-9a2d-bfe3ca6b9fc4,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250104-191500-BACKTEST-000-19,O-20250104-231000-BACKTEST-000-20,BUY,FLAT,0.00000000,0.02975929,1736018100000000000,2025-01-04 19:15:00+00:00,1736032200000000000,2025-01-04 23:10:00+00:00,14100000000000,98194.66,98174.98999999999,['23.38 USD'],-0.0002,-23.97 USD,True
