trade_num,side,entry_price,exit_price,realized_pnl,commissions
1,FLAT,94031.76,93863.12,-29.36 USD,['23.98 USD']
2,FLAT,94742.42,94472.98,-32.40 USD,['23.89 USD']
3,FLAT,95732.0,95460.0,-32.29 USD,['23.82 USD']
4,FLAT,96150.0,96000.0,-28.40 USD,['23.76 USD']
5,FLAT,97533.54,96806.43999999999,-45.70 USD,['23.61 USD']
6,FLAT,97827.75,97402.53,-36.37 USD,['23.55 USD']
7,FLAT,96848.0,96592.0,-31.24 USD,['23.47 USD']
8,FLAT,97009.72,98101.01000000001,9.38 USD,['23.57 USD']
9,FLAT,98151.52,97832.06,-32.96 USD,['23.42 USD']
10,FLAT,98194.66,98174.98999999999,-23.97 USD,['23.38 USD']
11,FLAT,98487.16,98357.45999999999,-27.14 USD,['23.30 USD']
12,FLAT,98565.65000000001,98357.01000000001,-29.38 USD,['23.23 USD']
13,FLAT,98717.59,98516.28000000001,-29.07 USD,['23.16 USD']
14,FLAT,98885.59,99046.63,-18.43 USD,['23.14 USD']
15,FLAT,99676.68,99360.0,-32.20 USD,['23.04 USD']
16,FLAT,100489.99,101685.27,11.06 USD,['23.13 USD']
17,FLAT,102013.48,101868.0,-27.10 USD,['23.00 USD']
18,FLAT,95290.93000000001,94956.01999999999,-33.00 USD,['22.92 USD']
19,FLAT,95344.11,95036.07,-32.08 USD,['22.84 USD']
20,FLAT,94608.75,94001.53,-41.02 USD,['22.73 USD']
21,FLAT,93113.97,93472.0,-11.83 USD,['22.74 USD']
22,FLAT,95793.05,94962.26999999999,-47.16 USD,['22.58 USD']
23,FLAT,94497.25,94429.11,-24.58 USD,['22.55 USD']
24,FLAT,94798.3,94561.01000000001,-29.51 USD,['22.47 USD']
25,FLAT,94661.31999999999,94827.71999999999,-17.51 USD,['22.44 USD']
26,FLAT,92630.31,95748.26,71.43 USD,['22.76 USD']
27,FLAT,97124.98999999999,96861.77,-30.17 USD,['22.53 USD']
28,FLAT,98939.61,99690.90999999999,-1.23 USD,['22.57 USD']
29,FLAT,100098.21,99461.52,-40.29 USD,['22.41 USD']
30,FLAT,100417.2,99782.0,-40.01 USD,['22.31 USD']
31,FLAT,101164.0,104369.87,65.65 USD,['22.65 USD']
32,FLAT,104365.81,103912.05,-34.59 USD,['22.39 USD']
33,FLAT,104680.0,103969.2,-41.27 USD,['22.29 USD']
34,FLAT,104536.04,104267.94,-29.37 USD,['22.23 USD']
35,FLAT,104795.15,104482.43999999999,-30.44 USD,['22.16 USD']
36,FLAT,105467.8,105147.03,-30.50 USD,['22.09 USD']
37,FLAT,105369.89,104389.99,-47.57 USD,['21.94 USD']
38,FLAT,103476.53,106060.2,46.25 USD,['22.21 USD']
39,FLAT,103182.64,103487.68,-13.93 USD,['22.08 USD']
40,FLAT,106043.45999999999,105482.56,-28.62 USD,['17.21 USD']
41,FLAT,104703.99,103482.77,-53.80 USD,['21.81 USD']
42,FLAT,106500.0,105139.18000000001,-28.62 USD,['10.97 USD']
43,FLAT,104421.95999999999,105064.81,-5.08 USD,['21.81 USD']
44,FLAT,106478.23,105910.48,-36.17 USD,['21.68 USD']
45,FLAT,104760.0,104568.65,-26.56 USD,['21.62 USD']
46,FLAT,105076.51,104819.37999999999,-28.16 USD,['21.56 USD']
47,FLAT,105165.98000000001,104990.01,-26.00 USD,['21.50 USD']
48,FLAT,105380.0,105153.82,-27.19 USD,['21.43 USD']
49,FLAT,105114.01,104982.56,-24.71 USD,['21.37 USD']
50,FLAT,101811.41,100907.99,-40.02 USD,['18.93 USD']
51,FLAT,101455.97,102474.87,5.31 USD,['21.34 USD']
52,FLAT,103538.17,102634.0,-44.34 USD,['21.15 USD']
53,FLAT,102426.23,102334.4,-23.50 USD,['21.13 USD']
54,FLAT,102824.98999999999,102176.49,-37.63 USD,['21.01 USD']
55,FLAT,103448.29000000001,105036.08,19.11 USD,['21.16 USD']
56,FLAT,106034.83,105449.42,-35.50 USD,['20.98 USD']
57,FLAT,104823.5,104391.99,-31.69 USD,['20.91 USD']
58,FLAT,95650.0,94856.38,-42.44 USD,['20.79 USD']
59,FLAT,96589.5,100747.79,70.41 USD,['16.50 USD']
60,FLAT,100472.07,99586.25,-43.93 USD,['20.85 USD']
61,FLAT,98324.0,97914.24,-31.66 USD,['20.80 USD']
62,FLAT,97476.16,98240.0,-0.50 USD,['20.84 USD']
63,FLAT,97425.58,97957.22,-6.66 USD,['20.82 USD']
64,FLAT,96622.64,96419.99,-26.16 USD,['20.72 USD']
65,FLAT,96750.01,96826.43,-18.65 USD,['20.69 USD']
66,FLAT,96796.88,96271.48000000001,-34.58 USD,['20.58 USD']
67,FLAT,97444.0,97015.26000000001,-31.81 USD,['20.51 USD']
68,FLAT,97775.99,97407.98000000001,-30.07 USD,['20.44 USD']
69,FLAT,98215.71999999999,97815.97,-30.74 USD,['20.36 USD']
70,FLAT,97735.32,97488.44,-26.73 USD,['20.31 USD']
71,FLAT,98272.31,98109.3,-24.45 USD,['20.25 USD']
72,FLAT,96079.68,96000.01,-22.29 USD,['20.20 USD']
73,FLAT,96499.99,94891.3,-61.99 USD,['19.99 USD']
74,FLAT,97182.01999999999,96583.61,-35.34 USD,['19.94 USD']
75,FLAT,97863.42,97466.67,-29.98 USD,['19.88 USD']
76,FLAT,96376.0,96583.67,-14.53 USD,['19.88 USD']
77,FLAT,97113.86,96844.58,-26.66 USD,['19.79 USD']
78,FLAT,97479.01000000001,97035.16,-30.95 USD,['19.71 USD']
79,FLAT,97732.62000000001,97504.49,-25.40 USD,['19.66 USD']
80,FLAT,97833.41,97640.23,-24.44 USD,['19.60 USD']
81,FLAT,97964.81999999999,97808.66,-23.44 USD,['19.54 USD']
82,FLAT,97698.12,97531.01000000001,-23.65 USD,['19.48 USD']
83,FLAT,97741.78,97619.99,-22.46 USD,['19.43 USD']
84,FLAT,97660.38,97450.0,-24.59 USD,['19.37 USD']
85,FLAT,96457.76,96244.38,-24.66 USD,['19.31 USD']
86,FLAT,96409.33,96126.47,-26.32 USD,['19.25 USD']
87,FLAT,95890.0,95674.62000000001,-24.57 USD,['19.18 USD']
88,FLAT,95399.95,95107.25,-26.47 USD,['19.13 USD']
89,FLAT,95817.13,95663.92,-22.88 USD,['19.07 USD']
90,FLAT,96453.45999999999,96208.4,-25.05 USD,['19.01 USD']
91,FLAT,96488.14,96330.0,-22.85 USD,['18.96 USD']
92,FLAT,96641.45999999999,96005.47,-34.42 USD,['18.86 USD']
93,FLAT,96544.16,96834.01,-11.80 USD,['18.87 USD']
94,FLAT,97271.99,97108.28000000001,-22.75 USD,['18.79 USD']
95,FLAT,97299.99,97170.55,-21.86 USD,['18.74 USD']
96,FLAT,97453.73000000001,97290.89,-22.59 USD,['18.68 USD']
97,FLAT,98284.93000000001,98014.01,-25.04 USD,['18.62 USD']
98,FLAT,98473.74,98339.64,-21.73 USD,['18.57 USD']
99,FLAT,98873.97,98672.64,-23.24 USD,['18.52 USD']
100,FLAT,98936.43,98415.09000000001,-30.60 USD,['18.43 USD']
101,FLAT,96487.71999999999,96363.42,-21.35 USD,['18.39 USD']
102,FLAT,96588.23,96544.25,-19.39 USD,['18.35 USD']
103,FLAT,96161.62999999999,95959.79,-23.08 USD,['18.28 USD']
104,FLAT,89204.14,88680.4,-31.59 USD,['18.20 USD']
105,FLAT,89252.07,88900.0,-27.10 USD,['18.14 USD']
106,FLAT,85543.4,86160.01,-1.85 USD,['18.17 USD']
107,FLAT,80978.47,83875.99,62.55 USD,['18.43 USD']
108,FLAT,85088.34999999999,84857.01000000001,-24.43 USD,['18.23 USD']
109,FLAT,85274.81999999999,85806.98999999999,-4.06 USD,['18.25 USD']
110,FLAT,86514.18,86234.01,-25.51 USD,['18.15 USD']
111,FLAT,89370.23,92846.16,46.06 USD,['12.22 USD']
112,FLAT,93200.01,91651.52,-55.96 USD,['18.09 USD']
113,FLAT,85222.88,86631.84999999999,14.02 USD,['13.35 USD']
114,FLAT,87780.0,88722.38,6.11 USD,['18.23 USD']
115,FLAT,90499.64,90041.06,-29.60 USD,['18.10 USD']
116,FLAT,90861.53,90504.01999999999,-26.93 USD,['18.04 USD']
117,FLAT,91847.37,91296.54000000001,-31.46 USD,['17.96 USD']
118,FLAT,92126.29000000001,91638.13,-29.77 USD,['17.89 USD']
119,FLAT,88660.62000000001,88455.99,-22.99 USD,['17.84 USD']
120,FLAT,90676.90999999999,89211.47,-39.35 USD,['12.96 USD']
121,FLAT,86537.86,86254.01,-24.95 USD,['17.69 USD']
122,FLAT,80029.97,80583.65000000001,-2.45 USD,['17.72 USD']
123,FLAT,82433.76,82705.70999999999,-9.76 USD,['16.59 USD']
124,FLAT,82896.89,82270.84000000001,-34.20 USD,['17.56 USD']
125,FLAT,83004.45000000001,82717.79,-25.08 USD,['17.51 USD']
126,FLAT,82911.45,83469.62,-2.83 USD,['17.54 USD']
127,FLAT,81537.36,82847.99,17.50 USD,['17.62 USD']
128,FLAT,84942.85,84126.5,-31.99 USD,['14.49 USD']
129,FLAT,84650.0,84446.01,-22.67 USD,['17.42 USD']
130,FLAT,84272.19,84145.13,-20.66 USD,['17.38 USD']
131,FLAT,83645.09000000001,83305.59,-26.11 USD,['17.31 USD']
132,FLAT,83933.77,83969.58,-16.36 USD,['17.28 USD']
133,FLAT,82500.89,83983.5,21.33 USD,['17.39 USD']
134,FLAT,85313.42,85759.7,-6.02 USD,['17.33 USD']
135,FLAT,86053.17,85857.62,-22.17 USD,['17.26 USD']
136,FLAT,84688.54000000001,84479.37999999999,-22.52 USD,['17.20 USD']
137,FLAT,84392.49,84108.69,-24.36 USD,['17.14 USD']
138,FLAT,84509.6,84312.45000000001,-22.07 USD,['17.08 USD']
139,FLAT,84367.4,84298.26,-18.80 USD,['17.05 USD']
140,FLAT,84456.2,84340.0,-19.93 USD,['17.00 USD']
141,FLAT,84314.9,84196.2,-19.94 USD,['16.95 USD']
142,FLAT,84237.93,84150.5,-19.10 USD,['16.91 USD']
143,FLAT,84282.34999999999,84216.98,-18.51 USD,['16.87 USD']
144,FLAT,84369.83,84325.66,-17.92 USD,['16.82 USD']
145,FLAT,84499.99,84439.34,-18.29 USD,['16.78 USD']
146,FLAT,85040.81,84885.88,-20.53 USD,['16.72 USD']
147,FLAT,85307.52,85039.96,-23.20 USD,['16.66 USD']
148,FLAT,85383.84,87923.92,44.97 USD,['16.88 USD']
149,FLAT,87377.97,87078.93000000001,-23.87 USD,['16.71 USD']
150,FLAT,88152.47,87738.06,-26.44 USD,['16.64 USD']
151,FLAT,88447.45,88042.01,-26.10 USD,['16.58 USD']
152,FLAT,87849.15999999999,87871.39,-16.04 USD,['16.56 USD']
153,FLAT,87473.68,87278.47,-21.11 USD,['16.50 USD']
154,FLAT,87695.65000000001,87413.98000000001,-23.05 USD,['16.44 USD']
155,FLAT,84516.26999999999,84318.39,-21.20 USD,['16.40 USD']
156,FLAT,82806.0,82958.3,-12.62 USD,['16.38 USD']
157,FLAT,83375.05,83186.96,-20.93 USD,['16.32 USD']
158,FLAT,82491.32,81929.06999999999,-30.10 USD,['16.23 USD']
159,FLAT,83338.48,82807.31,-29.07 USD,['16.16 USD']
160,FLAT,83153.23,82908.24,-22.06 USD,['16.12 USD']
161,FLAT,83300.56999999999,83128.4,-20.23 USD,['16.07 USD']
162,FLAT,83356.5,83749.99,-6.62 USD,['16.08 USD']
163,FLAT,84906.0,84970.61,-14.51 USD,['16.03 USD']
164,FLAT,85311.84,84969.70999999999,-23.96 USD,['15.95 USD']
165,FLAT,86101.2,85215.82,-36.33 USD,['15.85 USD']
166,FLAT,86414.13,85892.64,-27.74 USD,['15.79 USD']
167,FLAT,82588.98999999999,82695.91,-13.24 USD,['15.79 USD']
168,FLAT,83254.18,83071.99,-20.04 USD,['15.73 USD']
169,FLAT,83720.01,83602.41,-18.45 USD,['15.69 USD']
170,FLAT,84171.62,83533.41,-30.44 USD,['15.60 USD']
171,FLAT,83241.95,83281.08,-14.66 USD,['15.58 USD']
172,FLAT,78365.47,77434.01,-26.35 USD,['10.56 USD']
173,FLAT,79489.04,79020.04,-26.86 USD,['15.44 USD']
174,FLAT,79982.0,79581.91,-25.02 USD,['15.38 USD']
175,FLAT,77284.56,76829.02,-26.62 USD,['15.31 USD']
176,FLAT,77869.57,77312.90999999999,-28.91 USD,['15.24 USD']
177,FLAT,78097.84999999999,77215.4,-33.17 USD,['13.70 USD']
178,FLAT,78744.39,81980.0,62.33 USD,['15.45 USD']
179,FLAT,80573.1,81754.16,12.61 USD,['15.41 USD']
180,FLAT,83800.0,83467.99,-22.88 USD,['15.29 USD']
181,FLAT,83513.49,83450.01,-16.71 USD,['15.26 USD']
182,FLAT,84015.82,83669.82,-23.03 USD,['15.19 USD']
183,FLAT,84894.9,84550.0,-22.86 USD,['15.15 USD']
184,FLAT,85507.36,85253.54,-20.71 USD,['15.10 USD']
185,FLAT,85309.06999999999,84777.42,-26.76 USD,['15.02 USD']
186,FLAT,85167.52,84713.65000000001,-24.96 USD,['14.96 USD']
187,FLAT,85592.48,84801.88,-32.13 USD,['14.87 USD']
188,FLAT,85029.99,85533.64,-3.90 USD,['14.91 USD']
189,FLAT,86080.23,85589.44,-25.41 USD,['14.82 USD']
190,FLAT,84118.43999999999,83813.34,-21.48 USD,['14.77 USD']
191,FLAT,84415.54999999999,84345.99,-16.26 USD,['14.74 USD']
192,FLAT,84604.0,84362.88,-19.92 USD,['14.68 USD']
193,FLAT,84906.01999999999,84695.66,-19.18 USD,['14.64 USD']
194,FLAT,84844.89,85170.51,-7.63 USD,['14.64 USD']
195,FLAT,85337.05,85241.1,-16.64 USD,['14.59 USD']
196,FLAT,84637.66,84677.15999999999,-13.71 USD,['14.56 USD']
197,FLAT,85330.97,87148.8,23.99 USD,['14.68 USD']
198,FLAT,87673.01000000001,87489.26000000001,-18.38 USD,['14.56 USD']
199,FLAT,87775.69,93521.73000000001,103.93 USD,['15.01 USD']
200,FLAT,92925.78,92636.49,-20.51 USD,['14.76 USD']
201,FLAT,93460.48,93151.65000000001,-20.80 USD,['14.71 USD']
202,FLAT,93621.72,93383.17,-19.34 USD,['14.66 USD']
