client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20260101-091500-BACKTEST-000-1,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-001,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-e49d7ccc65843abe-412,MARKET,BUY,0.03411198,GTC,False,False,0.03411198,TAKER,87945.62,0.0,['12.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,72a35294-248b-42fc-b359-a06d56eb3e59,2026-01-01 09:15:00+00:00,2026-01-01 09:15:00+00:00
O-20260101-092500-BACKTEST-000-2,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-002,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-fda446aa115a9c47-421,MARKET,SELL,0.03411198,GTC,False,False,0.03411198,TAKER,87836.01999999999,0.0,['11.99 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,68a38911-7d19-46ea-941e-a66a9ed53d7e,2026-01-01 09:25:00+00:00,2026-01-01 09:25:00+00:00
O-20260101-115000-BACKTEST-000-3,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-003,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-72a3ea2958d401de-528,MARKET,BUY,0.03400038,GTC,False,False,0.03400038,TAKER,87989.62,0.0,['11.97 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f4ef7698-e650-4e74-bc83-7ea7a757f72f,2026-01-01 11:50:00+00:00,2026-01-01 11:50:00+00:00
O-20260101-134500-BACKTEST-000-4,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-004,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-7abf7a8b45b1f2db-611,MARKET,SELL,0.03400038,GTC,False,False,0.03400038,TAKER,87898.09,0.0,['11.95 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,31bbb0ce-9f04-4bdf-b460-2296622a01a0,2026-01-01 13:45:00+00:00,2026-01-01 13:45:00+00:00
O-20260101-172000-BACKTEST-000-5,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-005,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-72609b4fb08f25fd-775,MARKET,BUY,0.03382718,GTC,False,False,0.03382718,TAKER,88200.42,0.0,['11.93 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5e35938e-126c-48a5-b630-c1874f2f2b64,2026-01-01 17:20:00+00:00,2026-01-01 17:20:00+00:00
O-20260102-020500-BACKTEST-000-6,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-006,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-182b972c63dab4d1-1179,MARKET,SELL,0.03382718,GTC,False,False,0.03382718,TAKER,88471.89,0.0,['11.97 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,8feaace8-9a0d-4c2c-9282-6162bcccf893,2026-01-02 02:05:00+00:00,2026-01-02 02:05:00+00:00
O-20260102-083000-BACKTEST-000-7,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-007,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-a4244eb5d10fa002-1482,MARKET,BUY,0.03342746,GTC,False,False,0.03342746,TAKER,89123.01000000001,0.0,['11.92 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,37355259-2c66-4566-899d-1cce38f3eb03,2026-01-02 08:30:00+00:00,2026-01-02 08:30:00+00:00
O-20260102-141000-BACKTEST-000-8,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-008,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-41f5dbedaf5e245a-1753,MARKET,SELL,0.03342746,GTC,False,False,0.03342746,TAKER,89133.35,0.0,['11.92 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,84e46cb3-9ff1-49f1-b1ce-dfa19e1e1b2f,2026-01-02 14:10:00+00:00,2026-01-02 14:10:00+00:00
O-20260102-163000-BACKTEST-000-9,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-009,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-55598533d5dabf28-1866,MARKET,BUY,0.03275362,GTC,False,False,0.03275362,TAKER,90741.29,0.0,['11.89 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a2b68ced-d995-4dd5-ad8e-272cbbb54f3b,2026-01-02 16:30:00+00:00,2026-01-02 16:30:00+00:00
O-20260102-183000-BACKTEST-000-10,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-010,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-38d7aebe8b13e042-1962,MARKET,SELL,0.03275362,GTC,False,False,0.03275362,TAKER,90133.72,0.0,['11.81 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,cc98c4b8-63be-4025-b0c2-a65ab73ea4a3,2026-01-02 18:30:00+00:00,2026-01-02 18:30:00+00:00
