trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
V5-PORTFOLIO,KrakenV5PortfolioStrategy-000,LTC/USD.KRAKEN,KRAKEN-001,O-20250723-000000-PORTFOLIO-000-3,O-20250724-000000-PORTFOLIO-000-4,BUY,FLAT,0.00000000,44.61895413,1753228800000000000,2025-07-23 00:00:00+00:00,1753315200000000000,2025-07-24 00:00:00+00:00,86400000000000.0,112.06,112.06,['40.00 USD'],0.0,-40.00 USD,True
V5-PORTFOLIO,KrakenV5PortfolioStrategy-000,BCH/USD.KRAKEN,KRAKEN-001,O-20250723-000000-PORTFOLIO-000-2,O-20250802-000000-PORTFOLIO-000-7,BUY,FLAT,0.00000000,9.75419430,1753228800000000000,2025-07-23 00:00:00+00:00,1754092800000000000,2025-08-02 00:00:00+00:00,864000000000000.0,512.6,521.74,['40.36 USD'],0.01783,48.79 USD,True
V5-PORTFOLIO,KrakenV5PortfolioStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250723-000000-PORTFOLIO-000-1,O-20250819-000000-PORTFOLIO-000-10,BUY,FLAT,0.00000000,0.04211048,1753228800000000000,2025-07-23 00:00:00+00:00,1755561600000000000,2025-08-19 00:00:00+00:00,2332800000000000.0,118735.3,112830.3,['39.01 USD'],-0.04973,-287.67 USD,True
V5-PORTFOLIO,KrakenV5PortfolioStrategy-000,ETH/USD.KRAKEN,KRAKEN-001,O-20250724-000000-PORTFOLIO-000-5,O-20250802-000000-PORTFOLIO-000-6,BUY,FLAT,0.00000000,1.14595166,1753315200000000000,2025-07-24 00:00:00+00:00,1754092800000000000,2025-08-02 00:00:00+00:00,777600000000000.0,3706.09,3392.97,['32.54 USD'],-0.08449,-391.36 USD,True
V5-PORTFOLIO,KrakenV5PortfolioStrategy-000,ETH/USD.KRAKEN,KRAKEN-001,O-20250804-000000-PORTFOLIO-000-8,O-20250819-000000-PORTFOLIO-000-11,BUY,FLAT,0.00000000,1.27147425,1754265600000000000,2025-08-04 00:00:00+00:00,1755561600000000000,2025-08-19 00:00:00+00:00,1296000000000000.0,3719.99,4074.66,['39.64 USD'],0.09534,411.31 USD,True
V5-PORTFOLIO,KrakenV5PortfolioStrategy-000,BCH/USD.KRAKEN,KRAKEN-001,O-20250804-000000-PORTFOLIO-000-9,O-20250829-000000-PORTFOLIO-000-14,BUY,FLAT,0.00000000,8.24522183,1754265600000000000,2025-08-04 00:00:00+00:00,1756425600000000000,2025-08-29 00:00:00+00:00,2160000000000000.0,573.65,531.0,['36.43 USD'],-0.07435,-388.09 USD,True
V5-PORTFOLIO,KrakenV5PortfolioStrategy-000,ETH/USD.KRAKEN,KRAKEN-001,O-20250822-000000-PORTFOLIO-000-13,O-20250922-000000-PORTFOLIO-000-16,BUY,FLAT,0.00000000,0.98335704,1755820800000000000,2025-08-22 00:00:00+00:00,1758499200000000000,2025-09-22 00:00:00+00:00,2678400000000000.0,4830.0,4203.07,['35.53 USD'],-0.1298,-652.03 USD,True
V5-PORTFOLIO,KrakenV5PortfolioStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20250822-000000-PORTFOLIO-000-12,O-20250925-000000-PORTFOLIO-000-19,BUY,FLAT,0.00000000,0.04065828,1755820800000000000,2025-08-22 00:00:00+00:00,1758758400000000000,2025-09-25 00:00:00+00:00,2937600000000000.0,116817.90000000001,109049.79999999999,['36.74 USD'],-0.0665,-352.58 USD,True
V5-PORTFOLIO,KrakenV5PortfolioStrategy-000,BCH/USD.KRAKEN,KRAKEN-001,O-20250903-000000-PORTFOLIO-000-15,O-20250922-000000-PORTFOLIO-000-18,BUY,FLAT,0.00000000,7.43902150,1756857600000000000,2025-09-03 00:00:00+00:00,1758499200000000000,2025-09-22 00:00:00+00:00,1641600000000000.0,603.68,567.67,['34.85 USD'],-0.05965,-302.73 USD,True
V5-PORTFOLIO,KrakenV5PortfolioStrategy-000,ETH/USD.KRAKEN,KRAKEN-001,O-20250922-000000-PORTFOLIO-000-17,O-20251010-000000-PORTFOLIO-000-23,BUY,FLAT,0.00000000,1.06378921,1758499200000000000,2025-09-22 00:00:00+00:00,1760054400000000000,2025-10-10 00:00:00+00:00,1555200000000000.0,4203.07,3837.22,['34.21 USD'],-0.08704,-423.40 USD,True
