trade,instrument,realized_pnl
1,LTC/USD.KRAKEN,-40.00
2,BCH/USD.KRAKEN,48.79
3,BTC/USD.KRAKEN,-287.67
4,ETH/USD.KRAKEN,-391.36
5,ETH/USD.KRAKEN,411.31
6,BCH/USD.KRAKEN,-388.09
7,ETH/USD.KRAKEN,-652.03
8,BTC/USD.KRAKEN,-352.58
9,BCH/USD.KRAKEN,-302.73
10,ETH/USD.KRAKEN,-423.40
11,BCH/USD.KRAKEN,-295.86
12,BTC/USD.KRAKEN,101.84
13,BTC/USD.KRAKEN,-234.73
14,ETH/USD.KRAKEN,-321.21
15,BCH/USD.KRAKEN,-184.38
16,SOL/USD.KRAKEN,-240.87
17,BTC/USD.KRAKEN,-271.90
18,BCH/USD.KRAKEN,-444.58
19,BTC/USD.KRAKEN,-193.97
20,LTC/USD.KRAKEN,-354.75
21,BCH/USD.KRAKEN,-19.04
