source_venue,target_venue,symbol,signal_type,lookback_ms,horizon_ms,oi_bucket,capture_mode,captures_seen,finite_mean_raw_captures,positive_mean_raw_captures,positive_mean_net_captures,mean_of_mean_raw_bps,median_of_mean_raw_bps,mean_of_mean_net_bps,median_of_mean_net_bps,best_raw_bps,worst_raw_bps,best_net_bps,worst_net_bps,mean_win_rate,median_win_rate,total_valid_count,min_valid_count,max_valid_count,consistency_score,diagnostic_label
binance_perp,coinbase,,signed_imbalance,10000,300000,,FAST_DIAGNOSTIC,1,1,1,0,50.6416,50.6416,-26.6029,-26.6029,50.6416,50.6416,-26.6029,-26.6029,0.5,0.5,40,40,40,0.55,cost-wall constrained
binance_perp,coinbase,,notional_burst,5000,300000,,FAST_DIAGNOSTIC,1,1,1,0,49.481,49.481,-41.8113,-41.8113,49.481,49.481,-41.8113,-41.8113,0.4667,0.4667,15,15,15,0.55,cost-wall constrained
binance_perp,coinbase,,notional_burst,2000,300000,,FAST_DIAGNOSTIC,1,1,1,0,47.4985,47.4985,-33.2955,-33.2955,47.4985,47.4985,-33.2955,-33.2955,0.4242,0.4242,66,66,66,0.55,cost-wall constrained
binance_perp,coinbase,,signed_imbalance,30000,300000,,FAST_DIAGNOSTIC,1,1,1,0,45.8689,45.8689,-9.3855,-9.3855,45.8689,45.8689,-9.3855,-9.3855,0.5,0.5,16,16,16,0.55,cost-wall constrained
binance_perp,coinbase,,signed_imbalance,5000,300000,,FAST_DIAGNOSTIC,1,1,1,0,44.3949,44.3949,-35.0005,-35.0005,44.3949,44.3949,-35.0005,-35.0005,0.3333,0.3333,78,78,78,0.55,cost-wall constrained
binance_perp,coinbase,,notional_burst,1000,300000,,FAST_DIAGNOSTIC,1,1,1,0,42.4856,42.4856,-38.4709,-38.4709,42.4856,42.4856,-38.4709,-38.4709,0.3107,0.3107,103,103,103,0.55,cost-wall constrained
binance_perp,coinbase,,notional_burst,500,300000,,FAST_DIAGNOSTIC,1,1,1,0,42.4698,42.4698,-33.7524,-33.7524,42.4698,42.4698,-33.7524,-33.7524,0.3421,0.3421,114,114,114,0.55,cost-wall constrained
binance_perp,coinbase,,signed_imbalance,500,300000,,FAST_DIAGNOSTIC,1,1,1,0,42.2314,42.2314,-46.7408,-46.7408,42.2314,42.2314,-46.7408,-46.7408,0.2712,0.2712,118,118,118,0.55,cost-wall constrained
binance_perp,coinbase,,signed_imbalance,2000,300000,,FAST_DIAGNOSTIC,1,1,1,0,42.2188,42.2188,-38.5025,-38.5025,42.2188,42.2188,-38.5025,-38.5025,0.3178,0.3178,107,107,107,0.55,cost-wall constrained
binance_perp,coinbase,,signed_imbalance,250,300000,,FAST_DIAGNOSTIC,1,1,1,0,42.1622,42.1622,-50.4651,-50.4651,42.1622,42.1622,-50.4651,-50.4651,0.2458,0.2458,118,118,118,0.55,cost-wall constrained
binance_perp,coinbase,,notional_burst,250,300000,,FAST_DIAGNOSTIC,1,1,1,0,41.921,41.921,-38.8692,-38.8692,41.921,41.921,-38.8692,-38.8692,0.2966,0.2966,118,118,118,0.55,cost-wall constrained
binance_perp,coinbase,,signed_imbalance,1000,300000,,FAST_DIAGNOSTIC,1,1,1,0,41.7463,41.7463,-44.4078,-44.4078,41.7463,41.7463,-44.4078,-44.4078,0.2586,0.2586,116,116,116,0.55,cost-wall constrained
binance_perp,coinbase,,large_trade,250,300000,,FAST_DIAGNOSTIC,1,1,1,0,41.3288,41.3288,-54.6206,-54.6206,41.3288,41.3288,-54.6206,-54.6206,0.225,0.225,840,840,840,0.55,cost-wall constrained
binance_perp,coinbase,,notional_burst,10000,300000,,FAST_DIAGNOSTIC,1,1,1,0,27.297,27.297,-47.2122,-47.2122,27.297,27.297,-47.2122,-47.2122,0.3333,0.3333,6,6,6,0.55,cost-wall constrained
binance_perp,coinbase,,signed_imbalance,10000,60000,,FAST_DIAGNOSTIC,1,1,1,0,8.863,8.863,-46.9677,-46.9677,8.863,8.863,-46.9677,-46.9677,0.0,0.0,48,48,48,0.55,cost-wall constrained
binance_perp,coinbase,,signed_imbalance,30000,60000,,FAST_DIAGNOSTIC,1,1,1,0,7.9302,7.9302,-42.2926,-42.2926,7.9302,7.9302,-42.2926,-42.2926,0.0,0.0,16,16,16,0.55,cost-wall constrained
binance_perp,coinbase,,notional_burst,5000,60000,,FAST_DIAGNOSTIC,1,1,1,0,6.5567,6.5567,-54.3058,-54.3058,6.5567,6.5567,-54.3058,-54.3058,0.0,0.0,18,18,18,0.55,cost-wall constrained
binance_perp,coinbase,,signed_imbalance,5000,60000,,FAST_DIAGNOSTIC,1,1,1,0,5.8472,5.8472,-49.5673,-49.5673,5.8472,5.8472,-49.5673,-49.5673,0.0,0.0,106,106,106,0.55,cost-wall constrained
binance_perp,coinbase,,notional_burst,1000,60000,,FAST_DIAGNOSTIC,1,1,1,0,5.4856,5.4856,-51.3956,-51.3956,5.4856,5.4856,-51.3956,-51.3956,0.0,0.0,143,143,143,0.55,cost-wall constrained
binance_perp,coinbase,,notional_burst,2000,60000,,FAST_DIAGNOSTIC,1,1,1,0,5.4491,5.4491,-53.0177,-53.0177,5.4491,5.4491,-53.0177,-53.0177,0.0,0.0,95,95,95,0.55,cost-wall constrained
binance_perp,coinbase,,signed_imbalance,1000,60000,,FAST_DIAGNOSTIC,1,1,1,0,5.4355,5.4355,-51.1087,-51.1087,5.4355,5.4355,-51.1087,-51.1087,0.0,0.0,161,161,161,0.55,cost-wall constrained
binance_perp,coinbase,,signed_imbalance,500,60000,,FAST_DIAGNOSTIC,1,1,1,0,5.3994,5.3994,-52.9698,-52.9698,5.3994,5.3994,-52.9698,-52.9698,0.0,0.0,166,166,166,0.55,cost-wall constrained
binance_perp,coinbase,,notional_burst,500,60000,,FAST_DIAGNOSTIC,1,1,1,0,5.3159,5.3159,-51.7363,-51.7363,5.3159,5.3159,-51.7363,-51.7363,0.0,0.0,160,160,160,0.55,cost-wall constrained
binance_perp,coinbase,,large_trade,250,60000,,FAST_DIAGNOSTIC,1,1,1,0,5.3003,5.3003,-54.4636,-54.4636,5.3003,5.3003,-54.4636,-54.4636,0.0,0.0,1169,1169,1169,0.55,cost-wall constrained
binance_perp,coinbase,,signed_imbalance,2000,60000,,FAST_DIAGNOSTIC,1,1,1,0,5.251,5.251,-51.1586,-51.1586,5.251,5.251,-51.1586,-51.1586,0.0,0.0,147,147,147,0.55,cost-wall constrained
binance_perp,coinbase,,signed_imbalance,250,60000,,FAST_DIAGNOSTIC,1,1,1,0,5.1982,5.1982,-53.3725,-53.3725,5.1982,5.1982,-53.3725,-53.3725,0.0,0.0,166,166,166,0.55,cost-wall constrained
binance_perp,coinbase,,notional_burst,250,60000,,FAST_DIAGNOSTIC,1,1,1,0,5.1673,5.1673,-51.7008,-51.7008,5.1673,5.1673,-51.7008,-51.7008,0.0,0.0,165,165,165,0.55,cost-wall constrained
binance_perp,coinbase,,signed_imbalance,10000,30000,,FAST_DIAGNOSTIC,1,1,1,0,4.3562,4.3562,-51.2063,-51.2063,4.3562,4.3562,-51.2063,-51.2063,0.0,0.0,48,48,48,0.55,cost-wall constrained
