source_venue,target_venue,signal_type,lookback_ms,horizon_ms,valid_count,mean_raw_bps,mean_net_bps,median_net_bps,win_rate,baseline_mean_net_bps,baseline_win_rate,candidate,rejection_reasons
binance_perp,kraken,notional_burst,1000,1000,475,-0.0523,-54.9606,-55.0,0.0,,,False,mean_net_return_not_positive: -54.96 bps; median_net_too_negative: -55.00 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-54.98 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,1000,2000,475,-0.0968,-55.0005,-55.0,0.0,,,False,mean_net_return_not_positive: -55.00 bps; median_net_too_negative: -55.00 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-55.02 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,1000,5000,473,-0.0877,-54.962,-55.0,0.0,,,False,mean_net_return_not_positive: -54.96 bps; median_net_too_negative: -55.00 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-54.98 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,1000,10000,469,-0.0658,-54.9733,-55.0,0.0,,,False,mean_net_return_not_positive: -54.97 bps; median_net_too_negative: -55.00 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-55.00 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,1000,30000,459,-0.0261,-55.2945,-55.0,0.0,,,False,mean_net_return_not_positive: -55.29 bps; median_net_too_negative: -55.00 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-55.33 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,1000,60000,442,0.2509,-55.4606,-55.4335,0.0,,,False,mean_net_return_not_positive: -55.46 bps; median_net_too_negative: -55.43 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-55.50 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,1000,300000,315,2.9982,-54.0592,-54.2362,0.0,,,False,mean_net_return_not_positive: -54.06 bps; median_net_too_negative: -54.24 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-54.12 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,5000,1000,186,0.0238,-54.9286,-55.0,0.0,,,False,mean_net_return_not_positive: -54.93 bps; median_net_too_negative: -55.00 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-54.96 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,5000,2000,186,0.1393,-54.7754,-55.0,0.0,,,False,mean_net_return_not_positive: -54.78 bps; median_net_too_negative: -55.00 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-54.81 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,5000,5000,186,0.1672,-54.6724,-55.0,0.0,,,False,mean_net_return_not_positive: -54.67 bps; median_net_too_negative: -55.00 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-54.73 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,5000,10000,184,0.1315,-54.6616,-55.0,0.0,,,False,mean_net_return_not_positive: -54.66 bps; median_net_too_negative: -55.00 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-54.71 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,5000,30000,182,0.1884,-54.4788,-54.1122,0.0,,,False,mean_net_return_not_positive: -54.48 bps; median_net_too_negative: -54.11 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-54.55 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,5000,60000,173,0.2547,-54.4801,-54.7537,0.0,,,False,mean_net_return_not_positive: -54.48 bps; median_net_too_negative: -54.75 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-54.56 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,5000,300000,123,2.4961,-55.6728,-55.0,0.0,,,False,mean_net_return_not_positive: -55.67 bps; median_net_too_negative: -55.00 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-55.84 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,10000,1000,71,-0.1233,-54.4189,-55.0,0.0,,,False,mean_net_return_not_positive: -54.42 bps; median_net_too_negative: -55.00 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-54.55 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,10000,2000,71,0.051,-54.1998,-54.9877,0.0,,,False,mean_net_return_not_positive: -54.20 bps; median_net_too_negative: -54.99 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-54.33 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,10000,5000,71,-0.0254,-54.1982,-54.9877,0.0,,,False,mean_net_return_not_positive: -54.20 bps; median_net_too_negative: -54.99 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-54.32 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,10000,10000,71,0.4634,-54.102,-55.0,0.0,,,False,mean_net_return_not_positive: -54.10 bps; median_net_too_negative: -55.00 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-54.23 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,10000,30000,71,0.2059,-54.17,-55.0,0.0,,,False,mean_net_return_not_positive: -54.17 bps; median_net_too_negative: -55.00 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-54.36 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,10000,60000,65,1.1333,-53.7328,-52.873,0.0,,,False,mean_net_return_not_positive: -53.73 bps; median_net_too_negative: -52.87 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-53.92 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,10000,300000,53,3.7661,-54.4008,-54.7915,0.0,,,False,mean_net_return_not_positive: -54.40 bps; median_net_too_negative: -54.79 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-54.70 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,30000,1000,21,0.5843,-55.1356,-55.0,0.0,,,False,insufficient_events: 21 < 50; mean_net_return_not_positive: -55.14 bps; median_net_too_negative: -55.00 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-55.30 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,30000,2000,21,0.9883,-55.1322,-55.0,0.0,,,False,insufficient_events: 21 < 50; mean_net_return_not_positive: -55.13 bps; median_net_too_negative: -55.00 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-55.35 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,30000,5000,21,1.0444,-55.3976,-55.0,0.0,,,False,insufficient_events: 21 < 50; mean_net_return_not_positive: -55.40 bps; median_net_too_negative: -55.00 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-55.58 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,30000,10000,21,0.7705,-54.9679,-55.0,0.0,,,False,insufficient_events: 21 < 50; mean_net_return_not_positive: -54.97 bps; median_net_too_negative: -55.00 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-55.23 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,30000,30000,21,-1.0692,-53.5467,-53.773,0.0,,,False,insufficient_events: 21 < 50; mean_net_return_not_positive: -53.55 bps; median_net_too_negative: -53.77 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-53.75 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,30000,60000,19,-2.2455,-55.7605,-56.6717,0.0,,,False,insufficient_events: 19 < 50; mean_net_return_not_positive: -55.76 bps; median_net_too_negative: -56.67 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-56.40 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,notional_burst,30000,300000,19,3.7398,-53.7262,-55.9575,0.0,,,False,insufficient_events: 19 < 50; mean_net_return_not_positive: -53.73 bps; median_net_too_negative: -55.96 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-54.20 bps; win_rate_fails: 0.0000 (no baseline to compare)
binance_perp,kraken,large_trade,1000,1000,2068,-0.0221,-54.9648,-55.0,0.0,,,False,mean_net_return_not_positive: -54.96 bps; median_net_too_negative: -55.00 bps; no_valid_baseline_events; single_event_driven: mean_without_best=-54.97 bps; win_rate_fails: 0.0000 (no baseline to compare)
