dex,symbol,count
cash,AMZN,1121
cash,CAR,1121
cash,EWY,1121
cash,GOLD,1121
cash,GOOGL,1121
cash,HOOD,1121
cash,INTC,1121
cash,KWEB,1121
cash,META,1121
cash,MSFT,1121
cash,NVDA,1121
cash,SILVER,1121
cash,TSLA,1121
cash,USA500,1121
cash,WTI,1121
flx,BTC,646
flx,COIN,646
flx,COPPER,646
flx,CRCL,646
flx,GAS,646
flx,GOLD,646
flx,NVDA,646
flx,OIL,646
flx,PALLADIUM,646
flx,PLATINUM,646
flx,SILVER,646
flx,TSLA,646
flx,USA100,646
flx,USA500,646
flx,USDE,646
flx,XMR,646
hyna,1000PEPE,537
hyna,ADA,537
hyna,BASED,537
hyna,BCH,537
hyna,BNB,537
hyna,BTC,537
hyna,DOGE,537
hyna,ENA,537
hyna,ETH,537
hyna,FARTCOIN,537
hyna,HYPE,537
hyna,IP,537
hyna,LIGHTER,537
hyna,LINK,537
hyna,LIT,529
hyna,LTC,537
hyna,PUMP,537
hyna,SILVER,529
hyna,SOL,537
hyna,SUI,537
hyna,XMR,537
hyna,XPL,537
hyna,XRP,537
hyna,ZEC,537
km,AAPL,461
km,BABA,461
km,BMNR,461
km,EUR,461
km,GLDMINE,461
km,GOLD,461
km,GOOGL,461
km,MU,461
km,NVDA,461
km,PLTR,461
km,RTX,461
km,SEMI,461
km,SILVER,461
km,SMALL2000,461
km,TENCENT,461
km,TSLA,461
km,US500,461
km,USBOND,461
km,USENERGY,461
km,USOIL,461
km,USTECH,461
km,XIAOMI,461
para,AVGO,577
para,BTCD,577
para,OTHERS,577
para,TOTAL2,577
vntl,ANTHROPIC,523
vntl,BIOTECH,523
vntl,DEFENSE,523
vntl,ENERGY,523
vntl,INFOTECH,523
vntl,MAG7,523
vntl,NUCLEAR,523
vntl,OPENAI,523
vntl,ROBOT,523
vntl,SEMIS,523
vntl,SOY,523
vntl,SPACEX,523
vntl,WHEAT,523
xyz,AAPL,552
xyz,AMD,552
xyz,AMZN,552
xyz,ARM,552
xyz,BABA,552
xyz,BIRD,552
xyz,BRENTOIL,552
xyz,BX,552
xyz,CBRS,552
xyz,CL,552
xyz,COIN,552
xyz,COPPER,552
xyz,COST,552
xyz,CRCL,552
xyz,CRWV,552
xyz,DKNG,552
xyz,DRAM,552
xyz,EBAY,552
xyz,EUR,552
xyz,EWJ,552
xyz,EWT,552
xyz,EWY,552
xyz,EWZ,552
xyz,GBP,552
xyz,GME,552
xyz,GOLD,552
xyz,GOOGL,552
xyz,HIMS,552
xyz,HOOD,552
xyz,HYUNDAI,552
xyz,INTC,552
xyz,JP225,552
xyz,JPY,552
xyz,KR200,552
xyz,KRW,552
xyz,LITE,552
xyz,LLY,552
xyz,META,552
xyz,MRVL,552
xyz,MSFT,552
xyz,MSTR,552
xyz,MU,552
xyz,NATGAS,552
xyz,NFLX,552
xyz,NVDA,552
xyz,ORCL,552
xyz,PALLADIUM,552
xyz,PLATINUM,552
xyz,PLTR,552
xyz,PURRDAT,552
xyz,RIVN,552
xyz,RKLB,552
xyz,SILVER,552
xyz,SKHX,552
xyz,SMSN,552
xyz,SNDK,552
xyz,SP500,552
xyz,SPCX,552
xyz,TSLA,552
xyz,TSM,552
xyz,URNM,552
xyz,USAR,552
xyz,XLE,552
xyz,XYZ100,552
xyz,ZM,552
