dex_symbol,update_count,first_update_ts,last_update_ts,span_seconds,updates_per_hour,median_inter_update_seconds,p90_inter_update_seconds,p99_inter_update_seconds,max_inter_update_seconds
cash:AMZN,1121,1779521153316715008,1779664907522315008,143754.21,28.0729,1.54,2.73,3.11,85749.32
cash:CAR,1121,1779521153316715008,1779664907522315008,143754.21,28.0729,1.54,2.73,3.11,85749.32
cash:EWY,1121,1779521153316715008,1779664907522315008,143754.21,28.0729,1.54,2.73,3.11,85749.32
cash:GOLD,1121,1779521153316715008,1779664907522315008,143754.21,28.0729,1.54,2.73,3.11,85749.32
cash:GOOGL,1121,1779521153316715008,1779664907522315008,143754.21,28.0729,1.54,2.73,3.11,85749.32
cash:HOOD,1121,1779521153316715008,1779664907522315008,143754.21,28.0729,1.54,2.73,3.11,85749.32
cash:INTC,1121,1779521153316715008,1779664907522315008,143754.21,28.0729,1.54,2.73,3.11,85749.32
cash:KWEB,1121,1779521153316715008,1779664907522315008,143754.21,28.0729,1.54,2.73,3.11,85749.32
cash:META,1121,1779521153316715008,1779664907522315008,143754.21,28.0729,1.54,2.73,3.11,85749.32
cash:MSFT,1121,1779521153316715008,1779664907522315008,143754.21,28.0729,1.54,2.73,3.11,85749.32
cash:NVDA,1121,1779521153316715008,1779664907522315008,143754.21,28.0729,1.54,2.73,3.11,85749.32
cash:SILVER,1121,1779521153316715008,1779664907522315008,143754.21,28.0729,1.54,2.73,3.11,85749.32
cash:TSLA,1121,1779521153316715008,1779664907522315008,143754.21,28.0729,1.54,2.73,3.11,85749.32
cash:USA500,1121,1779521153316715008,1779664907522315008,143754.21,28.0729,1.54,2.73,3.11,85749.32
cash:WTI,1121,1779521153316715008,1779664907522315008,143754.21,28.0729,1.54,2.73,3.11,85749.32
flx:BTC,646,1779521141688556032,1779664907244590080,143765.56,16.1763,2.68,2.78,6.07,85750.87
flx:COIN,646,1779521141688556032,1779664907244590080,143765.56,16.1763,2.68,2.78,6.07,85750.87
flx:COPPER,646,1779521141688556032,1779664907244590080,143765.56,16.1763,2.68,2.78,6.07,85750.87
flx:CRCL,646,1779521141688556032,1779664907244590080,143765.56,16.1763,2.68,2.78,6.07,85750.87
flx:GAS,646,1779521141688556032,1779664907244590080,143765.56,16.1763,2.68,2.78,6.07,85750.87
flx:GOLD,646,1779521141688556032,1779664907244590080,143765.56,16.1763,2.68,2.78,6.07,85750.87
flx:NVDA,646,1779521141688556032,1779664907244590080,143765.56,16.1763,2.68,2.78,6.07,85750.87
