address,coin,fill_count,dollar_delta,turnover,nonzero_closedPnl,is_frozen
0xbfc79c444c41a74516bf31237ebf586a231480b4,ONDO,435,190377.24455,190377.24455,435,True
0xbfc79c444c41a74516bf31237ebf586a231480b4,ARB,528,494230.634468,494230.634468,528,True
0xbfc79c444c41a74516bf31237ebf586a231480b4,LDO,440,127161.13029,127161.13029,440,False
0xbfc79c444c41a74516bf31237ebf586a231480b4,EIGEN,304,111504.465642,111504.465642,304,False
0xbfc79c444c41a74516bf31237ebf586a231480b4,AI16Z,470,35010.298965,35010.298965,470,False
0xbfc79c444c41a74516bf31237ebf586a231480b4,SPX,151,33392.9352,33392.9352,151,False
0xbfc79c444c41a74516bf31237ebf586a231480b4,kFLOKI,92,63303.192641,63303.192641,92,False
0xbfc79c444c41a74516bf31237ebf586a231480b4,DOGE,57,59983.17867,59983.17867,57,True
0xbfc79c444c41a74516bf31237ebf586a231480b4,LINK,447,366436.758,366436.758,447,True
0xbfc79c444c41a74516bf31237ebf586a231480b4,WLD,320,114479.92097,114479.92097,320,True
0xbfc79c444c41a74516bf31237ebf586a231480b4,CAKE,129,74417.43465,74417.43465,129,False
0xbfc79c444c41a74516bf31237ebf586a231480b4,@136,12,-245.781,1228.911,6,False
0xbfc79c444c41a74516bf31237ebf586a231480b4,LTC,346,334696.7415,334696.7415,346,True
0xbfc79c444c41a74516bf31237ebf586a231480b4,PURR,122,17624.91912,17624.91912,122,False
0xbfc79c444c41a74516bf31237ebf586a231480b4,PURR/USDC,168,-17600.45717,17600.45717,168,False
0xbfc79c444c41a74516bf31237ebf586a231480b4,STRK,43,14944.614186,14944.614186,43,False
0xbfc79c444c41a74516bf31237ebf586a231480b4,CRV,2,596.1865,596.1865,2,False
0xbfc79c444c41a74516bf31237ebf586a231480b4,ZRO,3,-352.9553,352.9553,0,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,ONDO,710,37806.39031,325914.94517,358,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,PENGU,1729,49206.076088,746053.146736,764,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,ZORA,1406,31918.39724,339497.27412,711,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,PAXG,579,-10855.541,211348.8926,244,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,AVAX,1730,-3891.8046,1054136.1386,817,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,DOGE,1899,56647.98515,984107.20605,724,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,AIXBT,475,12336.489899,95002.326045,284,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,WIF,839,-1432.72636,279455.20198,357,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,kNEIRO,696,35273.655255,257583.334647,379,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,AI16Z,425,12489.740396,134965.703802,190,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,AAVE,558,28435.1003,254191.8291,207,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,ARB,916,47268.357508,473452.158876,403,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,JUP,839,14441.22445,362884.38809,350,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,MOODENG,2118,24672.8763,183309.94872,343,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,VINE,421,19053.450192,90831.58742,194,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,ENA,1357,11883.57848,658794.28044,655,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,GOAT,556,12180.001928,127997.49954,255,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,HEMI,667,9640.492821,255513.883765,338,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,PUMP,1218,55580.451634,494471.827504,722,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,BOME,325,4948.401153,56869.879629,162,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,SEI,424,15495.78337,212774.34485,215,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,ZEC,3159,-3962.2291,996476.2743,1064,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,SNX,1375,11601.00918,300379.49784,406,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,kSHIB,548,14513.387314,245468.002864,213,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,SUI,1048,-1762.12977,591249.03333,459,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,BERA,576,-13051.7713,202711.24264,216,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,DOT,548,13790.61789,233444.76333,246,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,HBAR,639,5087.25278,225980.44618,284,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,IOTA,190,6437.64834,25333.80682,71,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,APE,535,3612.01503,186982.359864,273,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,LTC,1319,5705.078,805534.6808,638,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,ZEN,1038,22058.11689,283336.51027,396,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,PENDLE,740,-15982.4902,248151.213,259,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,PEOPLE,304,11881.05906,80019.285596,185,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,SOPH,1150,9785.205956,268052.437742,602,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,MELANIA,361,32626.219335,92713.609819,164,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,CFX,293,11631.11791,62720.41739,101,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,SUSHI,553,11937.214168,172365.773624,269,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,UNI,950,-7345.66427,389095.32351,348,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,RESOLV,648,6120.705314,200258.183934,332,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,PYTH,406,547.76337,118160.07301,195,False
