asset,reference_basis,calendar_bucket_type,calendar_bucket,count,p50_absolute_divergence_bps_hourly,p95_absolute_divergence_bps_hourly,percentile_status
BTC,binance,utc_hour_of_day,0,516,0.08721625,0.7146444999999999,OK
BTC,binance,utc_day_of_week,0,1776,0.09005650000000001,0.6948928750000001,OK
BTC,binance,weekday_vs_weekend,weekday,8879,0.080275,0.6454026500000001,OK
BTC,binance,utc_hour_of_day,1,516,0.07423125,0.41003324999999996,OK
BTC,binance,utc_hour_of_day,2,516,0.07293125,0.5122243750000001,OK
BTC,binance,utc_hour_of_day,3,516,0.07609375,0.599288625,OK
BTC,binance,utc_hour_of_day,4,516,0.07742924999999999,0.6428577500000001,OK
BTC,binance,utc_hour_of_day,5,516,0.07643924999999999,0.638862,OK
BTC,binance,utc_hour_of_day,6,516,0.0808625,0.651915625,OK
BTC,binance,utc_hour_of_day,7,516,0.07554374999999999,0.66898575,OK
BTC,binance,utc_hour_of_day,8,516,0.084925,0.644440875,OK
BTC,binance,utc_hour_of_day,9,516,0.06910225,0.4108505000000001,OK
BTC,binance,utc_hour_of_day,10,516,0.0785875,0.4623935,OK
BTC,binance,utc_hour_of_day,11,516,0.08046249999999999,0.51723175,OK
BTC,binance,utc_hour_of_day,12,516,0.07969375,0.52043375,OK
BTC,binance,utc_hour_of_day,13,515,0.08274999999999999,0.5664119000000001,OK
BTC,binance,utc_hour_of_day,14,516,0.077375,0.66694625,OK
BTC,binance,utc_hour_of_day,15,516,0.0790875,0.6582515,OK
BTC,binance,utc_hour_of_day,16,516,0.0816375,0.6349585,OK
BTC,binance,utc_hour_of_day,17,516,0.072131,0.4345515,OK
BTC,binance,utc_hour_of_day,18,516,0.077575,0.497871375,OK
BTC,binance,utc_hour_of_day,19,516,0.08088750000000001,0.546807375,OK
BTC,binance,utc_hour_of_day,20,516,0.08176800000000001,0.6312592499999999,OK
BTC,binance,utc_hour_of_day,21,516,0.08591725,0.6481902500000001,OK
BTC,binance,utc_hour_of_day,22,516,0.091829,0.73619575,OK
BTC,binance,utc_hour_of_day,23,516,0.08574100000000001,0.726638875,OK
BTC,binance,utc_day_of_week,1,1776,0.08045,0.642683625,OK
BTC,binance,utc_day_of_week,2,1776,0.08032500000000001,0.7254275,OK
BTC,binance,utc_day_of_week,3,1775,0.0741,0.5621124999999999,OK
BTC,binance,utc_day_of_week,4,1776,0.07536925,0.5679445,OK
BTC,binance,utc_day_of_week,5,1752,0.0775,0.40914264999999994,OK
BTC,binance,weekday_vs_weekend,weekend,3504,0.0793625,0.48895994999999975,OK
BTC,binance,utc_day_of_week,6,1752,0.0832625,0.5744197000000002,OK
BTC,bybit,utc_hour_of_day,0,516,0.09813125,0.71838125,OK
BTC,bybit,utc_day_of_week,0,1776,0.10549775,0.68248875,OK
BTC,bybit,weekday_vs_weekend,weekday,8879,0.085339,0.6377064500000004,OK
BTC,bybit,utc_hour_of_day,1,516,0.0820375,0.40726537499999993,OK
BTC,bybit,utc_hour_of_day,2,516,0.07634374999999999,0.463211625,OK
BTC,bybit,utc_hour_of_day,3,516,0.08776975000000001,0.5823693750000001,OK
BTC,bybit,utc_hour_of_day,4,516,0.089625,0.653896625,OK
BTC,bybit,utc_hour_of_day,5,516,0.08725,0.590780125,OK
BTC,bybit,utc_hour_of_day,6,516,0.08725,0.641838125,OK
BTC,bybit,utc_hour_of_day,7,516,0.09543075000000001,0.6877971250000001,OK
BTC,bybit,utc_hour_of_day,8,516,0.0843875,0.6486485,OK
BTC,bybit,utc_hour_of_day,9,516,0.06808125000000001,0.421046625,OK
BTC,bybit,utc_hour_of_day,10,516,0.076325,0.49915037500000004,OK
