asset,reference_basis,threshold_bps_hourly,count
BTC,binance,2.0,17
BTC,binance,5.0,1
BTC,binance,8.0,0
BTC,binance,10.0,0
BTC,binance,20.0,0
BTC,binance,40.0,0
BTC,bybit,2.0,18
BTC,bybit,5.0,1
BTC,bybit,8.0,0
BTC,bybit,10.0,0
BTC,bybit,20.0,0
BTC,bybit,40.0,0
BTC,median_reference,2.0,18
BTC,median_reference,5.0,1
BTC,median_reference,8.0,0
BTC,median_reference,10.0,0
BTC,median_reference,20.0,0
BTC,median_reference,40.0,0
ETH,binance,2.0,2
ETH,binance,5.0,0
ETH,binance,8.0,0
ETH,binance,10.0,0
ETH,binance,20.0,0
ETH,binance,40.0,0
ETH,bybit,2.0,2
ETH,bybit,5.0,0
ETH,bybit,8.0,0
ETH,bybit,10.0,0
ETH,bybit,20.0,0
ETH,bybit,40.0,0
ETH,median_reference,2.0,2
ETH,median_reference,5.0,0
ETH,median_reference,8.0,0
ETH,median_reference,10.0,0
ETH,median_reference,20.0,0
ETH,median_reference,40.0,0
