asset,reference_basis,threshold_bps_hourly,n_observations,n_censored,median_half_life_hours,p75_half_life_hours,p95_half_life_hours,percentile_status
BTC,binance,2.0,17,0,3.000033888888889,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE
BTC,binance,5.0,1,0,0.9999858333333334,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE
BTC,binance,8.0,0,0,,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE
BTC,binance,10.0,0,0,,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE
BTC,binance,20.0,0,0,,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE
BTC,binance,40.0,0,0,,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE
BTC,bybit,2.0,18,0,3.0000697222222223,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE
BTC,bybit,5.0,1,0,0.9999858333333334,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE
BTC,bybit,8.0,0,0,,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE
BTC,bybit,10.0,0,0,,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE
BTC,bybit,20.0,0,0,,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE,INSUFFICIENT_SAMPLES_FOR_PERCENTILE
