client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20240101-085500-BACKTEST-000-1,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-001,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-9052bb47d81dd525-417,MARKET,BUY,0.07050530,GTC,False,False,0.07050530,TAKER,42549.990000000005,0.0,['12.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c30f95e1-40a8-4530-a579-593d0baef4ab,2024-01-01 08:55:00+00:00,2024-01-01 08:55:00+00:00
O-20240101-144500-BACKTEST-000-2,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-002,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-422747585b38223b-679,MARKET,SELL,0.07050530,GTC,False,False,0.07050530,TAKER,42601.100000000006,0.0,['12.01 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ba6ba620-d3da-47b5-b2c1-e4456858da31,2024-01-01 14:45:00+00:00,2024-01-01 14:45:00+00:00
O-20240101-180000-BACKTEST-000-3,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-003,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-5c6706aa8c64a1a4-831,MARKET,BUY,0.06970571,GTC,False,False,0.06970571,TAKER,42950.24,0.0,['11.98 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1a8e8190-a526-4d4a-be4d-cc0c579f4382,2024-01-01 18:00:00+00:00,2024-01-01 18:00:00+00:00
O-20240102-113500-BACKTEST-000-4,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-004,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-dabcb8e907782d9a-1655,MARKET,SELL,0.06970571,GTC,False,False,0.06970571,TAKER,45322.0,0.0,['12.64 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f0905030-7f87-4314-ac17-f01cbc6b1555,2024-01-02 11:35:00+00:00,2024-01-02 11:35:00+00:00
O-20240103-015000-BACKTEST-000-5,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-005,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-5e246e73ca9b280c-2328,MARKET,BUY,0.06702567,GTC,False,False,0.06702567,TAKER,45297.369999999995,0.0,['12.14 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ea127d0e-8f5a-411b-9140-6be8a884f785,2024-01-03 01:50:00+00:00,2024-01-03 01:50:00+00:00
O-20240103-040500-BACKTEST-000-6,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-006,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-cd17172e8e0e4173-2434,MARKET,SELL,0.06702567,GTC,False,False,0.06702567,TAKER,45192.689999999995,0.0,['12.12 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2f880648-c30f-4b0d-9c5c-d3523d4eef93,2024-01-03 04:05:00+00:00,2024-01-03 04:05:00+00:00
O-20240103-070500-BACKTEST-000-7,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-007,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-f84038831ae92a1e-2575,MARKET,BUY,0.06671135,GTC,False,False,0.06671135,TAKER,45370.13,0.0,['12.11 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,7df9f726-9ce9-4c9a-8c4f-c3e7a4497af2,2024-01-03 07:05:00+00:00,2024-01-03 07:05:00+00:00
O-20240103-074000-BACKTEST-000-8,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-008,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-b2e789fb33cd0200-2603,MARKET,SELL,0.06671135,GTC,False,False,0.06671135,TAKER,45150.270000000004,0.0,['12.05 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,177f0550-ab45-4589-a3d7-6d1f4c6bb67f,2024-01-03 07:40:00+00:00,2024-01-03 07:40:00+00:00
O-20240103-093500-BACKTEST-000-9,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-009,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-0757a4234fe1f90c-2691,MARKET,BUY,0.06627662,GTC,False,False,0.06627662,TAKER,45492.009999999995,0.0,['12.06 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,cb2a2a3c-5818-4c01-9679-091fe7d622de,2024-01-03 09:35:00+00:00,2024-01-03 09:35:00+00:00
O-20240103-101500-BACKTEST-000-10,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-010,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-6b4306fb51ca417a-2724,MARKET,SELL,0.06627662,GTC,False,False,0.06627662,TAKER,45336.12,0.0,['12.02 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f0b83bfa-ce8f-4c1b-9c3c-29898a5ecb07,2024-01-03 10:15:00+00:00,2024-01-03 10:15:00+00:00
