position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-7bde3b2e-65ba-44e7-b804-90ab5e80da0e,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240101-085500-BACKTEST-000-1,O-20240101-144500-BACKTEST-000-2,BUY,FLAT,0.00000000,0.07050530,1704099300000000000,2024-01-01 08:55:00+00:00,1704120300000000000,2024-01-01 14:45:00+00:00,21000000000000,42549.990000000005,42601.100000000006,['24.01 USD'],0.0012,-20.41 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-faebed4e-b727-4957-a3b3-0d652dce024c,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240101-180000-BACKTEST-000-3,O-20240102-113500-BACKTEST-000-4,BUY,FLAT,0.00000000,0.06970571,1704132000000000000,2024-01-01 18:00:00+00:00,1704195300000000000,2024-01-02 11:35:00+00:00,63300000000000,42950.24,45322.0,['24.62 USD'],0.05522,140.71 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-d671497f-4ffb-4261-bb5d-eb803d834bd2,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240103-015000-BACKTEST-000-5,O-20240103-040500-BACKTEST-000-6,BUY,FLAT,0.00000000,0.06702567,1704246600000000000,2024-01-03 01:50:00+00:00,1704254700000000000,2024-01-03 04:05:00+00:00,8100000000000,45297.369999999995,45192.689999999995,['24.26 USD'],-0.00231,-31.28 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-fe3dc36e-af57-4003-abd4-732258a08c79,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240103-070500-BACKTEST-000-7,O-20240103-074000-BACKTEST-000-8,BUY,FLAT,0.00000000,0.06671135,1704265500000000000,2024-01-03 07:05:00+00:00,1704267600000000000,2024-01-03 07:40:00+00:00,2100000000000,45370.13,45150.270000000004,['24.16 USD'],-0.00485,-38.83 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-1be0d760-b679-479b-b02b-9339eab21ae4,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240103-093500-BACKTEST-000-9,O-20240103-101500-BACKTEST-000-10,BUY,FLAT,0.00000000,0.06627662,1704274500000000000,2024-01-03 09:35:00+00:00,1704276900000000000,2024-01-03 10:15:00+00:00,2400000000000,45492.009999999995,45336.12,['24.08 USD'],-0.00343,-34.41 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-35641d2a-b7b2-4ee7-b0d3-2f219f7182a2,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240104-025500-BACKTEST-000-11,O-20240104-040000-BACKTEST-000-12,BUY,FLAT,0.00000000,0.06965313,1704336900000000000,2024-01-04 02:55:00+00:00,1704340800000000000,2024-01-04 04:00:00+00:00,3900000000000,43138.49,42977.55,['23.99 USD'],-0.00373,-35.20 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-45fcdd6d-2f7a-41e1-8469-7e14961468d1,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240104-053500-BACKTEST-000-13,O-20240104-061000-BACKTEST-000-14,BUY,FLAT,0.00000000,0.06921656,1704346500000000000,2024-01-04 05:35:00+00:00,1704348600000000000,2024-01-04 06:10:00+00:00,2100000000000,43258.009999999995,43111.8,['23.92 USD'],-0.00338,-34.04 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-983c7cc1-9f40-4369-8754-8a77f8461f9e,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240104-121000-BACKTEST-000-15,O-20240105-003500-BACKTEST-000-16,BUY,FLAT,0.00000000,0.06900282,1704370200000000000,2024-01-04 12:10:00+00:00,1704414900000000000,2024-01-05 00:35:00+00:00,44700000000000,43244.009999999995,44059.53,['24.10 USD'],0.01886,32.17 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-607f5c26-a9bc-4692-9173-6a8de3db5ed8,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240105-090000-BACKTEST-000-17,O-20240105-104500-BACKTEST-000-18,BUY,FLAT,0.00000000,0.06784608,1704445200000000000,2024-01-05 09:00:00+00:00,1704451500000000000,2024-01-05 10:45:00+00:00,6300000000000,44123.55,43901.11,['23.88 USD'],-0.00504,-38.97 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-3a00f4e0-ed86-4f8c-9c31-45a6460a8b01,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240105-205000-BACKTEST-000-19,O-20240105-210000-BACKTEST-000-20,BUY,FLAT,0.00000000,0.06760188,1704487800000000000,2024-01-05 20:50:00+00:00,1704488400000000000,2024-01-05 21:00:00+00:00,600000000000,44110.0,43789.93,['23.77 USD'],-0.00726,-45.41 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-64a2911c-d6c0-411b-a248-b7f4e0f35f37,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240106-141500-BACKTEST-000-21,O-20240106-200500-BACKTEST-000-22,BUY,FLAT,0.00000000,0.06767495,1704550500000000000,2024-01-06 14:15:00+00:00,1704571500000000000,2024-01-06 20:05:00+00:00,21000000000000,43861.07,43857.53,['23.74 USD'],-8e-05,-23.98 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-335fa091-55d2-453e-acad-83fd8bc22307,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240107-001500-BACKTEST-000-23,O-20240107-023500-BACKTEST-000-24,BUY,FLAT,0.00000000,0.06730687,1704586500000000000,2024-01-07 00:15:00+00:00,1704594900000000000,2024-01-07 02:35:00+00:00,8400000000000,43994.049999999996,43848.2,['23.65 USD'],-0.00332,-33.47 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-d48689af-c256-49d6-b6b6-f5f070cfffd7,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240107-080000-BACKTEST-000-25,O-20240107-085500-BACKTEST-000-26,BUY,FLAT,0.00000000,0.06688559,1704614400000000000,2024-01-07 08:00:00+00:00,1704617700000000000,2024-01-07 08:55:00+00:00,3300000000000,44121.07,44017.990000000005,['23.58 USD'],-0.00234,-30.47 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-3b6b5033-738e-41f4-903d-e00b68ee57ce,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240107-131000-BACKTEST-000-27,O-20240107-153500-BACKTEST-000-28,BUY,FLAT,0.00000000,0.06651418,1704633000000000000,2024-01-07 13:10:00+00:00,1704641700000000000,2024-01-07 15:35:00+00:00,8700000000000,44230.009999999995,44129.990000000005,['23.51 USD'],-0.00226,-30.16 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-c95038bc-c0e9-4edd-b103-f9f311d7e289,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240108-111000-BACKTEST-000-29,O-20240109-003500-BACKTEST-000-30,BUY,FLAT,0.00000000,0.06638129,1704712200000000000,2024-01-08 11:10:00+00:00,1704760500000000000,2024-01-09 00:35:00+00:00,48300000000000,44182.25,46334.88,['24.03 USD'],0.04872,118.86 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-958e7fc0-8ce6-45b2-bcde-abffe3bc2172,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240109-211000-BACKTEST-000-31,O-20240109-211500-BACKTEST-000-32,BUY,FLAT,0.00000000,0.06194986,1704834600000000000,2024-01-09 21:10:00+00:00,1704834900000000000,2024-01-09 21:15:00+00:00,300000000000,47918.36,46522.02,['23.40 USD'],-0.02914,-109.90 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-27c21215-7ea4-4f4d-84cc-cc54b8e9044a,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240110-173500-BACKTEST-000-33,O-20240110-201000-BACKTEST-000-34,BUY,FLAT,0.00000000,0.06393536,1704908100000000000,2024-01-10 17:35:00+00:00,1704917400000000000,2024-01-10 20:10:00+00:00,9300000000000,45914.54,45548.56,['23.39 USD'],-0.00797,-46.79 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-a36fbaaa-a4ff-424e-b1df-9304cd8f8a10,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240110-225000-BACKTEST-000-35,O-20240111-001500-BACKTEST-000-36,BUY,FLAT,0.00000000,0.04250439,1704927000000000000,2024-01-10 22:50:00+00:00,1704932100000000000,2024-01-11 00:15:00+00:00,5100000000000,46925.0,46352.0,['15.86 USD'],-0.01221,-40.22 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-15fb50a5-0b0a-4cb6-9efd-0bc938754b4f,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240111-101500-BACKTEST-000-37,O-20240111-154500-BACKTEST-000-38,BUY,FLAT,0.00000000,0.06274041,1704968100000000000,2024-01-11 10:15:00+00:00,1704987900000000000,2024-01-11 15:45:00+00:00,19800000000000,46372.979999999996,46752.6,['23.37 USD'],0.00819,0.45 USD,True
