trade_num,side,entry_price,exit_price,realized_pnl,commissions
1,FLAT,42549.990000000005,42601.100000000006,-20.41 USD,['24.01 USD']
2,FLAT,42950.24,45322.0,140.71 USD,['24.62 USD']
3,FLAT,45297.369999999995,45192.689999999995,-31.28 USD,['24.26 USD']
4,FLAT,45370.13,45150.270000000004,-38.83 USD,['24.16 USD']
5,FLAT,45492.009999999995,45336.12,-34.41 USD,['24.08 USD']
6,FLAT,43138.49,42977.55,-35.20 USD,['23.99 USD']
7,FLAT,43258.009999999995,43111.8,-34.04 USD,['23.92 USD']
8,FLAT,43244.009999999995,44059.53,32.17 USD,['24.10 USD']
9,FLAT,44123.55,43901.11,-38.97 USD,['23.88 USD']
10,FLAT,44110.0,43789.93,-45.41 USD,['23.77 USD']
11,FLAT,43861.07,43857.53,-23.98 USD,['23.74 USD']
12,FLAT,43994.049999999996,43848.2,-33.47 USD,['23.65 USD']
13,FLAT,44121.07,44017.990000000005,-30.47 USD,['23.58 USD']
14,FLAT,44230.009999999995,44129.990000000005,-30.16 USD,['23.51 USD']
15,FLAT,44182.25,46334.88,118.86 USD,['24.03 USD']
16,FLAT,47918.36,46522.02,-109.90 USD,['23.40 USD']
17,FLAT,45914.54,45548.56,-46.79 USD,['23.39 USD']
18,FLAT,46925.0,46352.0,-40.22 USD,['15.86 USD']
19,FLAT,46372.979999999996,46752.6,0.45 USD,['23.37 USD']
20,FLAT,43158.67,42988.5,-34.70 USD,['23.23 USD']
21,FLAT,43088.87,42879.420000000006,-37.23 USD,['23.14 USD']
22,FLAT,43015.15,42878.0,-32.28 USD,['23.07 USD']
23,FLAT,42893.049999999996,42808.700000000004,-28.66 USD,['23.00 USD']
24,FLAT,42704.3,42599.990000000005,-29.94 USD,['22.93 USD']
25,FLAT,42876.979999999996,42621.100000000006,-39.88 USD,['22.81 USD']
26,FLAT,43156.0,42886.86,-40.49 USD,['22.72 USD']
27,FLAT,42924.56,42786.57,-31.78 USD,['22.66 USD']
28,FLAT,43007.97,42872.36,-31.49 USD,['22.58 USD']
29,FLAT,43156.12,43016.42,-31.62 USD,['22.50 USD']
30,FLAT,42761.100000000006,42504.16,-39.27 USD,['22.40 USD']
31,FLAT,42734.91,42733.590000000004,-22.47 USD,['22.38 USD']
32,FLAT,41603.17,41485.420000000006,-30.19 USD,['22.29 USD']
33,FLAT,41668.0,41585.97,-27.69 USD,['22.22 USD']
34,FLAT,41692.6,41668.990000000005,-23.74 USD,['22.17 USD']
35,FLAT,41712.14000000001,41677.11,-24.43 USD,['22.11 USD']
36,FLAT,41766.11,41701.420000000006,-26.31 USD,['22.04 USD']
37,FLAT,41836.310000000005,41743.82,-28.06 USD,['21.98 USD']
38,FLAT,40139.39,40069.340000000004,-26.70 USD,['21.92 USD']
39,FLAT,39582.049999999996,39317.53999999999,-40.06 USD,['21.79 USD']
40,FLAT,39619.990000000005,39619.98,-21.78 USD,['21.78 USD']
41,FLAT,39925.98,40007.009999999995,-16.23 USD,['21.74 USD']
42,FLAT,40105.92,39990.899999999994,-29.42 USD,['21.65 USD']
43,FLAT,40130.0,40037.0,-27.85 USD,['21.59 USD']
44,FLAT,40207.47,40077.56,-30.21 USD,['21.51 USD']
45,FLAT,40062.23,40036.57,-23.19 USD,['21.47 USD']
46,FLAT,40307.270000000004,40079.82,-36.47 USD,['21.36 USD']
47,FLAT,40876.0,41784.96,37.72 USD,['21.56 USD']
48,FLAT,41818.39,41772.64,-24.34 USD,['21.41 USD']
49,FLAT,41949.98,41971.91,-19.97 USD,['21.37 USD']
50,FLAT,42305.87,42421.340000000004,-14.08 USD,['21.35 USD']
51,FLAT,42345.25,42218.0,-29.24 USD,['21.25 USD']
52,FLAT,42331.020000000004,42214.81,-28.45 USD,['21.17 USD']
53,FLAT,42690.47,43335.68,18.64 USD,['21.30 USD']
54,FLAT,43482.009999999995,43416.92,-25.13 USD,['21.17 USD']
55,FLAT,43692.009999999995,43544.09,-30.03 USD,['21.09 USD']
56,FLAT,43016.8,43177.81,-11.25 USD,['21.10 USD']
57,FLAT,42523.45,43033.29,10.36 USD,['21.15 USD']
58,FLAT,43203.82,43086.89,-28.14 USD,['21.02 USD']
59,FLAT,43399.729999999996,43173.72,-34.59 USD,['20.93 USD']
60,FLAT,43202.590000000004,43155.009999999995,-23.77 USD,['20.89 USD']
61,FLAT,43196.33,43116.0,-25.66 USD,['20.82 USD']
62,FLAT,42999.990000000005,42965.17,-22.87 USD,['20.77 USD']
63,FLAT,42759.87,42675.53,-25.81 USD,['20.70 USD']
64,FLAT,42894.270000000004,43035.88,-12.17 USD,['20.70 USD']
65,FLAT,42787.23,42750.0,-22.87 USD,['20.63 USD']
66,FLAT,42930.0,42849.57,-25.38 USD,['20.56 USD']
67,FLAT,43103.81,43097.369999999995,-20.90 USD,['20.52 USD']
68,FLAT,43275.35,43082.07,-31.85 USD,['20.42 USD']
69,FLAT,43390.009999999995,45257.990000000005,88.90 USD,['20.84 USD']
70,FLAT,45718.68,46830.14000000001,41.77 USD,['20.85 USD']
71,FLAT,47782.02,47358.25,-43.56 USD,['20.61 USD']
72,FLAT,47435.98,47335.12,-26.06 USD,['20.58 USD']
73,FLAT,47332.990000000005,47254.049999999996,-24.80 USD,['20.52 USD']
74,FLAT,47365.98,47608.579999999994,-7.42 USD,['20.53 USD']
75,FLAT,47992.009999999995,48106.34,-14.40 USD,['20.49 USD']
76,FLAT,48411.71,48240.43,-29.42 USD,['20.39 USD']
77,FLAT,48483.25,48182.780000000006,-36.07 USD,['20.30 USD']
78,FLAT,48378.0,49866.0,57.35 USD,['20.58 USD']
79,FLAT,50126.33,49945.46,-29.57 USD,['20.37 USD']
80,FLAT,49554.0,49370.409999999996,-29.72 USD,['20.30 USD']
81,FLAT,49689.26,51350.34,64.08 USD,['20.60 USD']
82,FLAT,51940.97,51744.0,-30.06 USD,['20.38 USD']
83,FLAT,52285.24,52151.299999999996,-26.84 USD,['20.32 USD']
84,FLAT,52014.44,51886.33,-26.50 USD,['20.26 USD']
85,FLAT,52168.15,52045.990000000005,-26.12 USD,['20.20 USD']
86,FLAT,52300.0,52103.21,-29.60 USD,['20.12 USD']
87,FLAT,52464.0,52196.0,-32.85 USD,['20.03 USD']
88,FLAT,52063.020000000004,51968.729999999996,-24.51 USD,['19.98 USD']
89,FLAT,51531.35,51530.83,-19.97 USD,['19.94 USD']
90,FLAT,51738.380000000005,51680.5,-22.67 USD,['19.89 USD']
91,FLAT,51970.009999999995,51799.96,-27.93 USD,['19.81 USD']
