client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20250101-135500-BACKTEST-000-1,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-001,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-278998f91093eb75-641,MARKET,BUY,0.03190411,GTC,False,False,0.03190411,TAKER,94031.76,0.0,['12.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,3dda134f-d13f-4548-96bc-9a1d4aa60459,2025-01-01 13:55:00+00:00,2025-01-01 13:55:00+00:00
O-20250101-171000-BACKTEST-000-2,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-002,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-da7c97c526e41485-795,MARKET,SELL,0.03190411,GTC,False,False,0.03190411,TAKER,93863.12,0.0,['11.98 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,441fcdf5-b657-4137-8d0b-f6dc9f36d115,2025-01-01 17:10:00+00:00,2025-01-01 17:10:00+00:00
O-20250101-194500-BACKTEST-000-3,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-003,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-e5e07a5bb9fe7b95-918,MARKET,BUY,0.03157183,GTC,False,False,0.03157183,TAKER,94742.42,0.0,['11.96 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,dcbc4d61-34bc-4e19-a6fb-9d74d15a0ff8,2025-01-01 19:45:00+00:00,2025-01-01 19:45:00+00:00
O-20250102-000000-BACKTEST-000-4,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-004,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-2fce78522718c9ab-1116,MARKET,SELL,0.03157183,GTC,False,False,0.03157183,TAKER,94472.98,0.0,['11.93 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b44b9965-e1d7-4b1c-b90e-1840e7bd6e20,2025-01-02 00:00:00+00:00,2025-01-02 00:00:00+00:00
O-20250102-043500-BACKTEST-000-5,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-005,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-8f1780475e99e6f0-1330,MARKET,BUY,0.03114394,GTC,False,False,0.03114394,TAKER,95732.0,0.0,['11.93 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,46ee9fd5-3255-4daf-a6b6-eaed00407a22,2025-01-02 04:35:00+00:00,2025-01-02 04:35:00+00:00
O-20250102-062500-BACKTEST-000-6,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-006,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-8a953700237940e4-1419,MARKET,SELL,0.03114394,GTC,False,False,0.03114394,TAKER,95460.0,0.0,['11.89 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,fdf5e165-32f3-4b55-869d-134596cc42b2,2025-01-02 06:25:00+00:00,2025-01-02 06:25:00+00:00
O-20250102-085000-BACKTEST-000-7,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-007,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-75724e716556464b-1531,MARKET,BUY,0.03090780,GTC,False,False,0.03090780,TAKER,96150.0,0.0,['11.89 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,70ecec59-01cc-45dd-b337-975b394b55b6,2025-01-02 08:50:00+00:00,2025-01-02 08:50:00+00:00
O-20250102-140000-BACKTEST-000-8,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-008,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-acd7b0dd125b603a-1776,MARKET,SELL,0.03090780,GTC,False,False,0.03090780,TAKER,96000.0,0.0,['11.87 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2904403f-c373-4caa-9205-1f56957f9eeb,2025-01-02 14:00:00+00:00,2025-01-02 14:00:00+00:00
O-20250102-163000-BACKTEST-000-9,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-009,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-a8812a1a9da79581-1896,MARKET,BUY,0.03038204,GTC,False,False,0.03038204,TAKER,97533.54,0.0,['11.85 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,0c60efe4-e191-44de-8120-a13f2b66ec09,2025-01-02 16:30:00+00:00,2025-01-02 16:30:00+00:00
O-20250102-173000-BACKTEST-000-10,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-010,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-dc1651a4abba36e9-1944,MARKET,SELL,0.03038204,GTC,False,False,0.03038204,TAKER,96806.43999999999,0.0,['11.76 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,cd23ebde-576a-49dd-bf83-29ac35a415ee,2025-01-02 17:30:00+00:00,2025-01-02 17:30:00+00:00
