position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-48865c59-6457-430c-b975-5b87ede3a0ea,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20260101-091500-BACKTEST-000-1,O-20260101-092500-BACKTEST-000-2,BUY,FLAT,0.00000000,0.03411198,1767258900000000000,2026-01-01 09:15:00+00:00,1767259500000000000,2026-01-01 09:25:00+00:00,600000000000,87945.62,87836.01999999999,['23.99 USD'],-0.00125,-27.73 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-4af48bef-8fee-40e4-a443-eb47c864862b,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20260101-115000-BACKTEST-000-3,O-20260101-134500-BACKTEST-000-4,BUY,FLAT,0.00000000,0.03400038,1767268200000000000,2026-01-01 11:50:00+00:00,1767275100000000000,2026-01-01 13:45:00+00:00,6900000000000,87989.62,87898.09,['23.92 USD'],-0.00104,-27.03 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-d46aa43b-ad06-423d-8ea5-11a3453c7fb2,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20260101-172000-BACKTEST-000-5,O-20260102-020500-BACKTEST-000-6,BUY,FLAT,0.00000000,0.03382718,1767288000000000000,2026-01-01 17:20:00+00:00,1767319500000000000,2026-01-02 02:05:00+00:00,31500000000000,88200.42,88471.89,['23.90 USD'],0.00308,-14.72 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-21eddfd2-6884-4cb9-9b7a-fa6d9cdc4373,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20260102-083000-BACKTEST-000-7,O-20260102-141000-BACKTEST-000-8,BUY,FLAT,0.00000000,0.03342746,1767342600000000000,2026-01-02 08:30:00+00:00,1767363000000000000,2026-01-02 14:10:00+00:00,20400000000000,89123.01000000001,89133.35,['23.84 USD'],0.00012,-23.49 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-a2eef408-9abd-470c-9d53-9dc48f325ece,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20260102-163000-BACKTEST-000-9,O-20260102-183000-BACKTEST-000-10,BUY,FLAT,0.00000000,0.03275362,1767371400000000000,2026-01-02 16:30:00+00:00,1767378600000000000,2026-01-02 18:30:00+00:00,7200000000000,90741.29,90133.72,['23.70 USD'],-0.0067,-43.60 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-061e7274-4ff9-4d79-8f18-769a429fd3e0,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20260103-142000-BACKTEST-000-11,O-20260103-150000-BACKTEST-000-12,BUY,FLAT,0.00000000,0.03280761,1767450000000000000,2026-01-03 14:20:00+00:00,1767452400000000000,2026-01-03 15:00:00+00:00,2400000000000,90193.27,90058.71,['23.66 USD'],-0.00149,-28.07 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-b88508de-24b5-48f7-82e1-234be218ad2f,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20260103-203000-BACKTEST-000-13,O-20260104-115000-BACKTEST-000-14,BUY,FLAT,0.00000000,0.03270452,1767472200000000000,2026-01-03 20:30:00+00:00,1767527400000000000,2026-01-04 11:50:00+00:00,55200000000000,90220.0,91245.99,['23.74 USD'],0.01137,9.81 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-ffa832c0-1ff4-4025-8d19-e7746744f525,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20260104-235500-BACKTEST-000-15,O-20260105-055500-BACKTEST-000-16,BUY,FLAT,0.00000000,0.03226872,1767570900000000000,2026-01-04 23:55:00+00:00,1767592500000000000,2026-01-05 05:55:00+00:00,21600000000000,91529.73000000001,92359.99,['23.73 USD'],0.00907,3.06 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-88090545-f136-43ff-8451-71714116b442,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20260105-101000-BACKTEST-000-17,O-20260105-133000-BACKTEST-000-18,BUY,FLAT,0.00000000,0.03179729,1767607800000000000,2026-01-05 10:10:00+00:00,1767619800000000000,2026-01-05 13:30:00+00:00,12000000000000,92915.65000000001,92712.0,['23.61 USD'],-0.00219,-30.09 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-e63e9bce-4328-474d-be0d-71f2b1c12cd9,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20260105-144000-BACKTEST-000-19,O-20260105-233500-BACKTEST-000-20,BUY,FLAT,0.00000000,0.03157520,1767624000000000000,2026-01-05 14:40:00+00:00,1767656100000000000,2026-01-05 23:35:00+00:00,32100000000000,93283.28,93874.03,['23.64 USD'],0.00633,-4.99 USD,True
