slug,title,duration_label,duration_seconds,is_active,is_closed,start_time_utc,end_time_utc,resolution_source,resolution_source_kind,yes_token_id,no_token_id,discovery_method,is_known_slug
btc-updown-5m-1778816700,"Bitcoin Up or Down - May 14, 11:45PM-11:50PM ET",5m,300,True,False,1778730802231154944,1778817000000000000,https://data.chain.link/streams/btc-usd,UNKNOWN,84168580934867118354287624202855361545016963485934470059555199951124459293638,52428145772713313854789836480635293469410199897880653837533808660538454741128,slug,False
btc-updown-5m-1778816400,"Bitcoin Up or Down - May 14, 11:40PM-11:45PM ET",5m,300,True,False,1778730463364933888,1778816700000000000,https://data.chain.link/streams/btc-usd,UNKNOWN,109461592632395521174909653871057758308924390564923230699766641253035489468875,16289160639077144311983442908803846581818488538072184780231070213895809990529,slug,False
btc-updown-5m-1778816100,"Bitcoin Up or Down - May 14, 11:35PM-11:40PM ET",5m,300,True,False,1778730174132677120,1778816400000000000,https://data.chain.link/streams/btc-usd,UNKNOWN,69585975370114272915209813829929412517451076170921578790483434957939257630133,4703342108155553443891397779045255125367942723754105172295426149060887409035,slug,False
btc-updown-5m-1778815800,"Bitcoin Up or Down - May 14, 11:30PM-11:35PM ET",5m,300,True,False,1778729858755544064,1778816100000000000,https://data.chain.link/streams/btc-usd,UNKNOWN,84528829717843524505476089843560181889345463522909769129990108418041660436067,17141293669702540176847308433498803916703962126275346155910053874763891913247,slug,False
btc-updown-15m-1778816700,"Bitcoin Up or Down - May 14, 11:45PM-12:00AM ET",15m,900,True,False,1778730803478843904,1778817600000000000,https://data.chain.link/streams/btc-usd,UNKNOWN,6957041518104239803963731455088496519132562922032240968337542916389525813011,16619499672888825938679326907484684005596911211705190549801013159963719563430,slug,False
btc-updown-15m-1778815800,"Bitcoin Up or Down - May 14, 11:30PM-11:45PM ET",15m,900,True,False,1778729863812990976,1778816700000000000,https://data.chain.link/streams/btc-usd,UNKNOWN,113476493512287765344092447439210804270278341480470435989990189499451106697156,49490943142532572991307079029615330196336213001141634630512553209951020704334,slug,False
btc-updown-15m-1778814900,"Bitcoin Up or Down - May 14, 11:15PM-11:30PM ET",15m,900,True,False,1778728967572352000,1778815800000000000,https://data.chain.link/streams/btc-usd,UNKNOWN,21802168643964359951275178299892521706891422381789277035101734525120732566978,29544973148369601819760649788046520997139483528449941957243904125407916338302,slug,False
btc-updown-15m-1778814000,"Bitcoin Up or Down - May 14, 11:00PM-11:15PM ET",15m,900,True,False,1778728102164495104,1778814900000000000,https://data.chain.link/streams/btc-usd,UNKNOWN,13402745275707306722216109051010834381242308328783048124296519335001996375676,53539503029936309660635253970780536703670901531200681343418796670946280281419,slug,False
bitcoin-up-or-down-may-15-2026-11pm-et,"Bitcoin Up or Down - May 15, 11PM ET",1h,3600,True,False,1778727740024694016,1778904000000000000,https://www.binance.com/en/trade/BTC_USDT,BINANCE_BTCUSDT,46794761990124431354521108264363219885026089167984990951593415476187742229126,57821932021766644420853778222749512219329651041156225972306019558120793968179,slug,False
bitcoin-up-or-down-may-13-2026-11pm-et,"Bitcoin Up or Down - May 13, 11PM ET",1h,3600,True,False,1778554940457835008,1778731200000000000,https://www.binance.com/en/trade/BTC_USDT,BINANCE_BTCUSDT,33136433046764603922550063220515240217374494161230542422592733692657708940226,33250333030724616137056260363405289675180948850967783300568878340397950697230,known_slug,True
btc-updown-4h-1778716800,"Bitcoin Up or Down - May 13, 8:00PM-12:00AM ET",4h,14400,True,False,1778630873272118016,1778731200000000000,https://data.chain.link/streams/btc-usd,CHAINLINK_BTCUSD,16883442263138053228872948683019067684103343082407085748541972262033267547579,18164019985737039307455410378040134512642778428250957678166966591244435104599,known_slug,True
