source_file,project,study_name,symbol,source_venue,target_venue,signal_type,horizon_ms,events_count,gross_bps,fee_bps,slippage_bps,latency_buffer_bps,quote_mismatch_bps,net_bps,win_rate,random_baseline_bps,beats_baseline,verdict,rejection_reason,warnings
reports/baseline_v6_market_structure/funding_basis_observations.jsonl,v6_funding_basis,baseline_v6_market_structure,BTC,,,v6_funding_basis,,36,,,,,,-147.38471666666666,,,,REJECTED,,
reports/baseline_v6_market_structure/opportunities.jsonl,v6_funding_basis,baseline_v6_market_structure,BTC/USD,,,v6_funding_basis,,8,,,,,,-56.7677125,,,,REJECTED,,
reports/signal_observer/forward_returns.jsonl,unknown,signal_observer,,BINANCE,KRAKEN,unknown,,144,,,,,,34.95544755244755,,,,REJECTED,,
reports/signal_observer/summary.json,unknown,signal_observer,None,,,unknown,,24,,5.0,1.0,0.0,,,,,,UNKNOWN,,
reports/signal_observer_tick_lead_lag/tick_summary.json,tick_lead_lag,signal_observer_tick_lead_lag,BTC-USD,coinbase,coinbase,tick_lead_lag,1000,0,,12.0,2.0,5.0,,,,,,NEEDS_MORE_DATA,,
reports/signal_observer_tick_lead_lag_v2/tick_summary.json,tick_lead_lag,signal_observer_tick_lead_lag_v2,BTC-USD,coinbase,kraken,tick_lead_lag,1000,1,,12.0,2.0,5.0,,-14.124,0.0,,,REJECTED,insufficient_events: 5 < 50; mean_net_return_not_positive: -14.12 bps; median_net_too_negative: -14.00 bps; win_rate_fails: 0.0000 vs baseline 0.0000; does_not_beat_baseline_by_margin: -14.12 <= -14.00 + 1.00,
reports/signal_observer_tick_lead_lag_v2/tick_summary.json,tick_lead_lag,signal_observer_tick_lead_lag_v2,BTC-USD,kraken,coinbase,tick_lead_lag,1000,1,,12.0,2.0,5.0,,-13.9578,0.0,,,REJECTED,insufficient_events: 5 < 50; mean_net_return_not_positive: -13.96 bps; median_net_too_negative: -14.00 bps; win_rate_fails: 0.0000 vs baseline 0.0000; does_not_beat_baseline_by_margin: -13.96 <= -13.78 + 1.00,
reports/signal_observer_tick_lead_lag_v3/tick_summary.json,tick_lead_lag,signal_observer_tick_lead_lag_v3,BTC-USD,coinbase,kraken,tick_lead_lag,1000,6,,12.0,2.0,5.0,,-13.1044,0.0,,,REJECTED,insufficient_events: 30 < 50; mean_net_return_not_positive: -13.10 bps; median_net_too_negative: -13.99 bps; win_rate_fails: 0.0000 vs baseline 0.0000; does_not_beat_baseline_by_margin: -13.10 <= -13.89 + 1.00,
reports/signal_observer_tick_lead_lag_v3/tick_summary.json,tick_lead_lag,signal_observer_tick_lead_lag_v3,ETH-USD,coinbase,kraken,tick_lead_lag,1000,5,,12.0,2.0,5.0,,-12.7586,0.0,,,REJECTED,insufficient_events: 25 < 50; mean_net_return_not_positive: -12.76 bps; median_net_too_negative: -14.00 bps; win_rate_fails: 0.0000 vs baseline 0.0000; does_not_beat_baseline_by_margin: -12.76 <= -13.55 + 1.00,
reports/signal_observer_tick_lead_lag_v3/tick_summary.json,tick_lead_lag,signal_observer_tick_lead_lag_v3,BTC-USD,kraken,coinbase,tick_lead_lag,1000,2,,12.0,2.0,5.0,,-12.2841,0.0,,,REJECTED,insufficient_events: 10 < 50; mean_net_return_not_positive: -12.28 bps; median_net_too_negative: -11.97 bps; win_rate_fails: 0.0000 vs baseline 0.0000; single_event_driven: mean_without_best=-12.61 bps,
