study,signal_type,symbol,source_venue,target_venue,total_signals,valid_events,net_bps,win_rate,verdict,rejection_reasons
baseline_v6_market_structure,v6_funding_basis,BTC,,,36,36,-147.38471666666666,,REJECTED,
baseline_v6_market_structure,v6_funding_basis,BTC/USD,,,8,8,-56.7677125,,REJECTED,
signal_observer,unknown,,BINANCE,KRAKEN,144,144,34.95544755244755,,REJECTED,
signal_observer,unknown,None,,,24,143,,,UNKNOWN,
signal_observer_tick_lead_lag,tick_lead_lag,BTC-USD,coinbase,coinbase,0,0,,,NEEDS_MORE_DATA,
signal_observer_tick_lead_lag_v2,tick_lead_lag,BTC-USD,coinbase,kraken,1,5,-14.124,0.0,REJECTED,insufficient_events: 5 < 50; mean_net_return_not_positive: -14.12 bps; median_net_too_negative: -14.00 bps; win_rate_fails: 0.0000 vs baseline 0.0000; does_not_beat_baseline_by_margin: -14.12 <= -14.00 + 1.00
signal_observer_tick_lead_lag_v2,tick_lead_lag,BTC-USD,kraken,coinbase,1,5,-13.9578,0.0,REJECTED,insufficient_events: 5 < 50; mean_net_return_not_positive: -13.96 bps; median_net_too_negative: -14.00 bps; win_rate_fails: 0.0000 vs baseline 0.0000; does_not_beat_baseline_by_margin: -13.96 <= -13.78 + 1.00
signal_observer_tick_lead_lag_v3,tick_lead_lag,BTC-USD,coinbase,kraken,6,30,-13.1044,0.0,REJECTED,insufficient_events: 30 < 50; mean_net_return_not_positive: -13.10 bps; median_net_too_negative: -13.99 bps; win_rate_fails: 0.0000 vs baseline 0.0000; does_not_beat_baseline_by_margin: -13.10 <= -13.89 + 1.00
signal_observer_tick_lead_lag_v3,tick_lead_lag,ETH-USD,coinbase,kraken,5,25,-12.7586,0.0,REJECTED,insufficient_events: 25 < 50; mean_net_return_not_positive: -12.76 bps; median_net_too_negative: -14.00 bps; win_rate_fails: 0.0000 vs baseline 0.0000; does_not_beat_baseline_by_margin: -12.76 <= -13.55 + 1.00
signal_observer_tick_lead_lag_v3,tick_lead_lag,BTC-USD,kraken,coinbase,2,10,-12.2841,0.0,REJECTED,insufficient_events: 10 < 50; mean_net_return_not_positive: -12.28 bps; median_net_too_negative: -11.97 bps; win_rate_fails: 0.0000 vs baseline 0.0000; single_event_driven: mean_without_best=-12.61 bps
signal_observer_tick_lead_lag_v3,tick_lead_lag,ETH-USD,kraken,coinbase,2,10,-13.2079,0.0,REJECTED,insufficient_events: 10 < 50; mean_net_return_not_positive: -13.21 bps; median_net_too_negative: -13.47 bps; win_rate_fails: 0.0000 vs baseline 0.0000; does_not_beat_baseline_by_margin: -13.21 <= -13.14 + 1.00
trade_flow_impulse_v1,count_burst,BTC/USD,coinbase,kraken,0,0,,,NEEDS_MORE_DATA,
trade_flow_impulse_v1,notional_burst,BTC/USD,coinbase,kraken,78,456,-14.0277,0.0,REJECTED,
trade_flow_impulse_v1,large_trade,BTC/USD,coinbase,kraken,74,435,-14.0195,0.0,REJECTED,
trade_flow_impulse_v1,signed_imbalance,BTC/USD,coinbase,kraken,73,429,-13.9742,0.0,REJECTED,
trade_flow_impulse_v1,count_burst,ETH/USD,coinbase,kraken,0,0,,,NEEDS_MORE_DATA,
trade_flow_impulse_v1,notional_burst,ETH/USD,coinbase,kraken,59,344,-14.0378,0.0,REJECTED,
trade_flow_impulse_v1,large_trade,ETH/USD,coinbase,kraken,62,361,-14.1631,0.0,REJECTED,
trade_flow_impulse_v1,signed_imbalance,ETH/USD,coinbase,kraken,59,348,-14.1628,0.0,REJECTED,
trade_flow_impulse_v1,count_burst,BTC/USD,kraken,coinbase,0,0,,,NEEDS_MORE_DATA,
trade_flow_impulse_v1,notional_burst,BTC/USD,kraken,coinbase,33,194,-13.7168,0.0,REJECTED,
trade_flow_impulse_v1,large_trade,BTC/USD,kraken,coinbase,31,181,-13.9175,0.0,REJECTED,
trade_flow_impulse_v1,signed_imbalance,BTC/USD,kraken,coinbase,19,112,-13.6595,0.0,REJECTED,
trade_flow_impulse_v1,count_burst,ETH/USD,kraken,coinbase,0,0,,,NEEDS_MORE_DATA,
trade_flow_impulse_v1,notional_burst,ETH/USD,kraken,coinbase,17,99,-14.072,0.0,REJECTED,
trade_flow_impulse_v1,large_trade,ETH/USD,kraken,coinbase,20,118,-14.0647,0.0,REJECTED,
trade_flow_impulse_v1,signed_imbalance,ETH/USD,kraken,coinbase,4,24,-14.3557,0.0,REJECTED,
trade_flow_impulse_v1_300s,count_burst,BTC/USD,coinbase,kraken,0,0,,,NEEDS_MORE_DATA,
trade_flow_impulse_v1_300s,notional_burst,BTC/USD,coinbase,kraken,25,138,-13.1506,0.0,REJECTED,
trade_flow_impulse_v1_300s,large_trade,BTC/USD,coinbase,kraken,25,138,-12.6917,0.0,REJECTED,
trade_flow_impulse_v1_300s,signed_imbalance,BTC/USD,coinbase,kraken,27,149,-14.8395,0.0,REJECTED,
trade_flow_impulse_v1_300s,count_burst,ETH/USD,coinbase,kraken,0,0,,,NEEDS_MORE_DATA,
trade_flow_impulse_v1_300s,notional_burst,ETH/USD,coinbase,kraken,24,123,-13.1013,0.0,REJECTED,
trade_flow_impulse_v1_300s,large_trade,ETH/USD,coinbase,kraken,24,129,-12.6735,0.0,REJECTED,
trade_flow_impulse_v1_300s,signed_imbalance,ETH/USD,coinbase,kraken,25,123,-14.1952,0.0,REJECTED,
trade_flow_impulse_v1_300s,count_burst,BTC/USD,kraken,coinbase,0,0,,,NEEDS_MORE_DATA,
trade_flow_impulse_v1_300s,notional_burst,BTC/USD,kraken,coinbase,12,70,-13.6956,0.0,REJECTED,
trade_flow_impulse_v1_300s,large_trade,BTC/USD,kraken,coinbase,16,91,-12.756,0.0,REJECTED,
trade_flow_impulse_v1_300s,signed_imbalance,BTC/USD,kraken,coinbase,14,79,-13.6534,0.0,REJECTED,
trade_flow_impulse_v1_300s,count_burst,ETH/USD,kraken,coinbase,0,0,,,NEEDS_MORE_DATA,
trade_flow_impulse_v1_300s,notional_burst,ETH/USD,kraken,coinbase,10,54,-13.2141,0.0,REJECTED,
trade_flow_impulse_v1_300s,large_trade,ETH/USD,kraken,coinbase,7,36,-12.8635,0.0,REJECTED,
trade_flow_impulse_v1_300s,signed_imbalance,ETH/USD,kraken,coinbase,3,18,-13.5779,0.0,REJECTED,
v6_market_structure,v6_funding_basis,BTC,,,36,36,-147.38471666666666,,REJECTED,
v6_market_structure,v6_funding_basis,BTC/USD,,,8,8,-56.7677125,,REJECTED,
