source_venue,target_venue,symbol,asset,lookback_ms,threshold_bps,total_signals,total_events,valid_events,rejected_events,mean_net_return_bps,median_net_return_bps,win_rate,std_net_return_bps,max_net_return_bps,min_net_return_bps,candidate
coinbase,kraken,BTC-USD,BTC,1000,2.0,6,30,30,0,-13.1044,-13.9938,0.0,1.5099,-9.3002,-14.0124,False
coinbase,kraken,BTC-USD,BTC,1000,5.0,0,0,0,0,,,,,,,False
coinbase,kraken,BTC-USD,BTC,1000,10.0,0,0,0,0,,,,,,,False
coinbase,kraken,BTC-USD,BTC,1000,20.0,0,0,0,0,,,,,,,False
coinbase,kraken,BTC-USD,BTC,5000,2.0,6,30,30,0,-13.1044,-13.9938,0.0,1.5099,-9.3002,-14.0124,False
coinbase,kraken,BTC-USD,BTC,5000,5.0,0,0,0,0,,,,,,,False
coinbase,kraken,BTC-USD,BTC,5000,10.0,0,0,0,0,,,,,,,False
coinbase,kraken,BTC-USD,BTC,5000,20.0,0,0,0,0,,,,,,,False
coinbase,kraken,BTC-USD,BTC,10000,2.0,6,30,29,1,-13.071,-13.9876,0.0,1.5254,-9.3002,-14.0124,False
coinbase,kraken,BTC-USD,BTC,10000,5.0,0,0,0,0,,,,,,,False
coinbase,kraken,BTC-USD,BTC,10000,10.0,0,0,0,0,,,,,,,False
coinbase,kraken,BTC-USD,BTC,10000,20.0,0,0,0,0,,,,,,,False
coinbase,kraken,BTC-USD,BTC,30000,2.0,21,105,105,0,-13.2433,-13.9876,0.0,1.4041,-9.3002,-16.0451,False
coinbase,kraken,BTC-USD,BTC,30000,5.0,0,0,0,0,,,,,,,False
coinbase,kraken,BTC-USD,BTC,30000,10.0,0,0,0,0,,,,,,,False
coinbase,kraken,BTC-USD,BTC,30000,20.0,0,0,0,0,,,,,,,False
coinbase,kraken,ETH-USD,ETH,1000,2.0,5,25,25,0,-12.7586,-14.0,0.0,2.1694,-8.5701,-17.1089,False
coinbase,kraken,ETH-USD,ETH,1000,5.0,0,0,0,0,,,,,,,False
coinbase,kraken,ETH-USD,ETH,1000,10.0,0,0,0,0,,,,,,,False
coinbase,kraken,ETH-USD,ETH,1000,20.0,0,0,0,0,,,,,,,False
coinbase,kraken,ETH-USD,ETH,5000,2.0,10,50,45,5,-13.0955,-14.0,0.0,1.8519,-8.5701,-17.1089,False
coinbase,kraken,ETH-USD,ETH,5000,5.0,0,0,0,0,,,,,,,False
coinbase,kraken,ETH-USD,ETH,5000,10.0,0,0,0,0,,,,,,,False
coinbase,kraken,ETH-USD,ETH,5000,20.0,0,0,0,0,,,,,,,False
coinbase,kraken,ETH-USD,ETH,10000,2.0,15,75,70,5,-13.396,-14.0,0.0,1.7511,-8.442,-17.1089,False
coinbase,kraken,ETH-USD,ETH,10000,5.0,0,0,0,0,,,,,,,False
coinbase,kraken,ETH-USD,ETH,10000,10.0,0,0,0,0,,,,,,,False
coinbase,kraken,ETH-USD,ETH,10000,20.0,0,0,0,0,,,,,,,False
coinbase,kraken,ETH-USD,ETH,30000,2.0,29,145,140,5,-13.3641,-14.0,0.0,1.7928,-8.442,-17.6308,False
coinbase,kraken,ETH-USD,ETH,30000,5.0,3,15,15,0,-12.9413,-14.0,0.0,1.563,-9.713,-14.0438,False
coinbase,kraken,ETH-USD,ETH,30000,10.0,0,0,0,0,,,,,,,False
coinbase,kraken,ETH-USD,ETH,30000,20.0,0,0,0,0,,,,,,,False
kraken,coinbase,BTC-USD,BTC,1000,2.0,2,10,10,0,-12.2841,-11.965,0.0,1.5768,-9.3077,-14.0,False
kraken,coinbase,BTC-USD,BTC,1000,5.0,0,0,0,0,,,,,,,False
kraken,coinbase,BTC-USD,BTC,1000,10.0,0,0,0,0,,,,,,,False
kraken,coinbase,BTC-USD,BTC,1000,20.0,0,0,0,0,,,,,,,False
kraken,coinbase,BTC-USD,BTC,5000,2.0,3,15,15,0,-12.6901,-13.7929,0.0,1.4713,-9.3077,-14.0012,False
kraken,coinbase,BTC-USD,BTC,5000,5.0,0,0,0,0,,,,,,,False
kraken,coinbase,BTC-USD,BTC,5000,10.0,0,0,0,0,,,,,,,False
kraken,coinbase,BTC-USD,BTC,5000,20.0,0,0,0,0,,,,,,,False
kraken,coinbase,BTC-USD,BTC,10000,2.0,4,20,20,0,-13.0432,-13.4788,0.0,1.6789,-9.3077,-17.5455,False
kraken,coinbase,BTC-USD,BTC,10000,5.0,0,0,0,0,,,,,,,False
kraken,coinbase,BTC-USD,BTC,10000,10.0,0,0,0,0,,,,,,,False
kraken,coinbase,BTC-USD,BTC,10000,20.0,0,0,0,0,,,,,,,False
kraken,coinbase,BTC-USD,BTC,30000,2.0,8,40,40,0,-13.2264,-13.8078,0.0,1.865,-9.3077,-20.456,False
kraken,coinbase,BTC-USD,BTC,30000,5.0,0,0,0,0,,,,,,,False
kraken,coinbase,BTC-USD,BTC,30000,10.0,0,0,0,0,,,,,,,False
kraken,coinbase,BTC-USD,BTC,30000,20.0,0,0,0,0,,,,,,,False
kraken,coinbase,ETH-USD,ETH,1000,2.0,2,10,10,0,-13.2079,-13.4749,0.0,1.4281,-10.7172,-15.4882,False
kraken,coinbase,ETH-USD,ETH,1000,5.0,0,0,0,0,,,,,,,False
kraken,coinbase,ETH-USD,ETH,1000,10.0,0,0,0,0,,,,,,,False
kraken,coinbase,ETH-USD,ETH,1000,20.0,0,0,0,0,,,,,,,False
kraken,coinbase,ETH-USD,ETH,5000,2.0,2,10,10,0,-13.2079,-13.4749,0.0,1.4281,-10.7172,-15.4882,False
kraken,coinbase,ETH-USD,ETH,5000,5.0,0,0,0,0,,,,,,,False
kraken,coinbase,ETH-USD,ETH,5000,10.0,0,0,0,0,,,,,,,False
kraken,coinbase,ETH-USD,ETH,5000,20.0,0,0,0,0,,,,,,,False
kraken,coinbase,ETH-USD,ETH,10000,2.0,2,10,10,0,-13.2079,-13.4749,0.0,1.4281,-10.7172,-15.4882,False
kraken,coinbase,ETH-USD,ETH,10000,5.0,0,0,0,0,,,,,,,False
kraken,coinbase,ETH-USD,ETH,10000,10.0,0,0,0,0,,,,,,,False
kraken,coinbase,ETH-USD,ETH,10000,20.0,0,0,0,0,,,,,,,False
kraken,coinbase,ETH-USD,ETH,30000,2.0,7,35,35,0,-13.1147,-13.3436,0.0,1.2317,-10.7172,-15.4882,False
kraken,coinbase,ETH-USD,ETH,30000,5.0,0,0,0,0,,,,,,,False
kraken,coinbase,ETH-USD,ETH,30000,10.0,0,0,0,0,,,,,,,False
kraken,coinbase,ETH-USD,ETH,30000,20.0,0,0,0,0,,,,,,,False
