source_venue,target_venue,symbol,asset,signal_type,lookback_ms,total_signals,total_events,valid_events,rejected_events,mean_net_return_bps,median_net_return_bps,win_rate
coinbase,kraken,BTC/USD,BTC,count_burst,1000,0,0,0,0,,,
coinbase,kraken,BTC/USD,BTC,count_burst,5000,0,0,0,0,,,
coinbase,kraken,BTC/USD,BTC,count_burst,10000,0,0,0,0,,,
coinbase,kraken,BTC/USD,BTC,count_burst,30000,0,0,0,0,,,
coinbase,kraken,BTC/USD,BTC,notional_burst,1000,78,468,456,12,-14.0277,-14.0,0.0
coinbase,kraken,BTC/USD,BTC,notional_burst,5000,43,258,251,7,-13.8608,-14.0,0.0
coinbase,kraken,BTC/USD,BTC,notional_burst,10000,30,180,173,7,-13.8216,-14.0,0.0
coinbase,kraken,BTC/USD,BTC,notional_burst,30000,5,30,27,3,-13.9568,-14.0,0.0
coinbase,kraken,BTC/USD,BTC,large_trade,1000,74,444,435,9,-14.0195,-14.0,0.0
coinbase,kraken,BTC/USD,BTC,large_trade,5000,74,444,435,9,-14.0195,-14.0,0.0
coinbase,kraken,BTC/USD,BTC,large_trade,10000,74,444,435,9,-14.0195,-14.0,0.0
coinbase,kraken,BTC/USD,BTC,large_trade,30000,74,444,435,9,-14.0195,-14.0,0.0
coinbase,kraken,BTC/USD,BTC,signed_imbalance,1000,73,438,429,9,-13.9742,-14.0,0.0
coinbase,kraken,BTC/USD,BTC,signed_imbalance,5000,79,474,465,9,-13.9798,-14.0,0.0
coinbase,kraken,BTC/USD,BTC,signed_imbalance,10000,73,438,428,10,-14.1441,-14.0,0.0
coinbase,kraken,BTC/USD,BTC,signed_imbalance,30000,39,234,228,6,-14.178,-14.0,0.0
coinbase,kraken,ETH/USD,ETH,count_burst,1000,0,0,0,0,,,
coinbase,kraken,ETH/USD,ETH,count_burst,5000,0,0,0,0,,,
coinbase,kraken,ETH/USD,ETH,count_burst,10000,0,0,0,0,,,
coinbase,kraken,ETH/USD,ETH,count_burst,30000,0,0,0,0,,,
coinbase,kraken,ETH/USD,ETH,notional_burst,1000,59,354,344,10,-14.0378,-14.0,0.0
coinbase,kraken,ETH/USD,ETH,notional_burst,5000,41,246,236,10,-13.7534,-14.0,0.0
coinbase,kraken,ETH/USD,ETH,notional_burst,10000,18,108,99,9,-14.4566,-14.0,0.0
coinbase,kraken,ETH/USD,ETH,notional_burst,30000,6,36,36,0,-14.1339,-13.9563,0.0
coinbase,kraken,ETH/USD,ETH,large_trade,1000,62,372,361,11,-14.1631,-14.0,0.0
coinbase,kraken,ETH/USD,ETH,large_trade,5000,62,372,361,11,-14.1631,-14.0,0.0
coinbase,kraken,ETH/USD,ETH,large_trade,10000,62,372,361,11,-14.1631,-14.0,0.0
coinbase,kraken,ETH/USD,ETH,large_trade,30000,62,372,361,11,-14.1631,-14.0,0.0
coinbase,kraken,ETH/USD,ETH,signed_imbalance,1000,59,354,348,6,-14.1628,-14.0,0.0
coinbase,kraken,ETH/USD,ETH,signed_imbalance,5000,70,420,409,11,-14.1752,-14.0,0.0
coinbase,kraken,ETH/USD,ETH,signed_imbalance,10000,66,396,386,10,-14.0984,-14.0,0.0
coinbase,kraken,ETH/USD,ETH,signed_imbalance,30000,54,324,313,11,-14.2011,-14.0,0.0
kraken,coinbase,BTC/USD,BTC,count_burst,1000,0,0,0,0,,,
kraken,coinbase,BTC/USD,BTC,count_burst,5000,0,0,0,0,,,
kraken,coinbase,BTC/USD,BTC,count_burst,10000,0,0,0,0,,,
kraken,coinbase,BTC/USD,BTC,count_burst,30000,0,0,0,0,,,
kraken,coinbase,BTC/USD,BTC,notional_burst,1000,33,198,194,4,-13.7168,-14.0,0.0
kraken,coinbase,BTC/USD,BTC,notional_burst,5000,32,192,188,4,-14.0068,-14.0,0.0
kraken,coinbase,BTC/USD,BTC,notional_burst,10000,25,150,145,5,-14.0916,-14.0,0.0
kraken,coinbase,BTC/USD,BTC,notional_burst,30000,11,66,66,0,-13.6927,-14.0,0.0
kraken,coinbase,BTC/USD,BTC,large_trade,1000,31,186,181,5,-13.9175,-14.0,0.0
kraken,coinbase,BTC/USD,BTC,large_trade,5000,31,186,181,5,-13.9175,-14.0,0.0
