source_venue,target_venue,symbol,asset,signal_type,lookback_ms,total_signals,total_events,valid_events,rejected_events,mean_net_return_bps,median_net_return_bps,win_rate
coinbase,kraken,BTC/USD,BTC,count_burst,1000,0,0,0,0,,,
coinbase,kraken,BTC/USD,BTC,count_burst,5000,0,0,0,0,,,
coinbase,kraken,BTC/USD,BTC,count_burst,10000,0,0,0,0,,,
coinbase,kraken,BTC/USD,BTC,count_burst,30000,0,0,0,0,,,
coinbase,kraken,BTC/USD,BTC,notional_burst,1000,25,150,138,12,-13.1506,-13.9876,0.0
coinbase,kraken,BTC/USD,BTC,notional_burst,5000,13,78,68,10,-13.1485,-13.9876,0.0
coinbase,kraken,BTC/USD,BTC,notional_burst,10000,8,48,45,3,-12.6224,-12.759,0.0
coinbase,kraken,BTC/USD,BTC,notional_burst,30000,1,6,6,0,-12.6142,-12.759,0.0
coinbase,kraken,BTC/USD,BTC,large_trade,1000,25,150,138,12,-12.6917,-13.7954,0.0
coinbase,kraken,BTC/USD,BTC,large_trade,5000,25,150,138,12,-12.6917,-13.7954,0.0
coinbase,kraken,BTC/USD,BTC,large_trade,10000,25,150,138,12,-12.6917,-13.7954,0.0
coinbase,kraken,BTC/USD,BTC,large_trade,30000,25,150,138,12,-12.6917,-13.7954,0.0
coinbase,kraken,BTC/USD,BTC,signed_imbalance,1000,27,162,149,13,-14.8395,-14.0124,0.0
coinbase,kraken,BTC/USD,BTC,signed_imbalance,5000,28,168,155,13,-14.7964,-14.0124,0.0
coinbase,kraken,BTC/USD,BTC,signed_imbalance,10000,27,162,148,14,-14.6498,-14.0124,0.0
coinbase,kraken,BTC/USD,BTC,signed_imbalance,30000,21,126,115,11,-14.8828,-14.0124,0.0
coinbase,kraken,ETH/USD,ETH,count_burst,1000,0,0,0,0,,,
coinbase,kraken,ETH/USD,ETH,count_burst,5000,0,0,0,0,,,
coinbase,kraken,ETH/USD,ETH,count_burst,10000,0,0,0,0,,,
coinbase,kraken,ETH/USD,ETH,count_burst,30000,0,0,0,0,,,
coinbase,kraken,ETH/USD,ETH,notional_burst,1000,24,144,123,21,-13.1013,-13.3867,0.0
coinbase,kraken,ETH/USD,ETH,notional_burst,5000,8,48,41,7,-12.6691,-13.1249,0.0
coinbase,kraken,ETH/USD,ETH,notional_burst,10000,3,18,16,2,-12.9191,-13.4749,0.0
coinbase,kraken,ETH/USD,ETH,notional_burst,30000,0,0,0,0,,,
coinbase,kraken,ETH/USD,ETH,large_trade,1000,24,144,129,15,-12.6735,-13.1249,0.0
coinbase,kraken,ETH/USD,ETH,large_trade,5000,24,144,129,15,-12.6735,-13.1249,0.0
coinbase,kraken,ETH/USD,ETH,large_trade,10000,24,144,129,15,-12.6735,-13.1249,0.0
coinbase,kraken,ETH/USD,ETH,large_trade,30000,24,144,129,15,-12.6735,-13.1249,0.0
coinbase,kraken,ETH/USD,ETH,signed_imbalance,1000,25,150,123,27,-14.1952,-14.5251,0.0
coinbase,kraken,ETH/USD,ETH,signed_imbalance,5000,27,162,135,27,-15.4461,-14.8755,0.0
coinbase,kraken,ETH/USD,ETH,signed_imbalance,10000,26,156,135,21,-15.4075,-14.8755,0.0
coinbase,kraken,ETH/USD,ETH,signed_imbalance,30000,16,96,94,2,-15.8371,-14.9852,0.0
kraken,coinbase,BTC/USD,BTC,count_burst,1000,0,0,0,0,,,
kraken,coinbase,BTC/USD,BTC,count_burst,5000,0,0,0,0,,,
kraken,coinbase,BTC/USD,BTC,count_burst,10000,0,0,0,0,,,
kraken,coinbase,BTC/USD,BTC,count_burst,30000,0,0,0,0,,,
kraken,coinbase,BTC/USD,BTC,notional_burst,1000,12,72,70,2,-13.6956,-13.7912,0.0
kraken,coinbase,BTC/USD,BTC,notional_burst,5000,12,72,70,2,-13.2539,-13.3546,0.0
kraken,coinbase,BTC/USD,BTC,notional_burst,10000,13,78,76,2,-13.4468,-13.452,0.0
kraken,coinbase,BTC/USD,BTC,notional_burst,30000,6,36,34,2,-12.476,-12.9114,0.0
kraken,coinbase,BTC/USD,BTC,large_trade,1000,16,96,91,5,-12.756,-13.1709,0.0
